Epithelial,Lymphocyte,Macrophage,Neutrophil,Epithelial.Lymphocyte,Epithelial.Macrophage,Epithelial.Neutrophil,Lymphocyte.Macrophage,Lymphocyte.Neutrophil,Macrophage.Neutrophil,Epithelial.Lymphocyte.Macrophage,Epithelial.Lymphocyte.Neutrophil,Lymphocyte.Macrophage.Neutrophil,Epithelial.Lymphocyte.Macrophage.Neutrophil,Label
50863,268455,67103,5762,319318,117966,56625,335558,274217,72865,386421,325080,341320,392183,normal
9307,38536,6549,1479,47843,15856,10786,45085,40015,8028,54392,49322,46564,55871,normal
84884,41766,8450,1265,126650,93334,86149,50216,43031,9715,135100,127915,51481,136365,normal
606233,260876,28790,3222,867109,635023,609455,289666,264098,32012,895899,870331,292888,899121,normal
262039,115876,13270,9152,377915,275309,271191,129146,125028,22422,391185,387067,138298,400337,normal
153576,35554,8041,7357,189130,161617,160933,43595,42911,15398,197171,196487,50952,204528,normal
61625,59533,10998,2065,121158,72623,63690,70531,61598,13063,132156,123223,72596,134221,normal
173645,150070,15574,4705,323715,189219,178350,165644,154775,20279,339289,328420,170349,343994,normal
69292,30577,3725,431,99869,73017,69723,34302,31008,4156,103594,100300,34733,104025,normal
121457,27097,10568,269,148554,132025,121726,37665,27366,10837,159122,148823,37934,159391,normal
84110,61807,17080,3819,145917,101190,87929,78887,65626,20899,162997,149736,82706,166816,normal
226654,181306,53575,7566,407960,280229,234220,234881,188872,61141,461535,415526,242447,469101,normal
199857,272720,11163,14934,472577,211020,214791,283883,287654,26097,483740,487511,298817,498674,normal
129779,113599,20990,8313,243378,150769,138092,134589,121912,29303,264368,251691,142902,272681,normal
66198,43565,11905,966,109763,78103,67164,55470,44531,12871,121668,110729,56436,122634,normal
97065,36333,15785,255,133398,112850,97320,52118,36588,16040,149183,133653,52373,149438,normal
20304,19678,2590,352,39982,22894,20656,22268,20030,2942,42572,40334,22620,42924,normal
117878,40137,12711,1475,158015,130589,119353,52848,41612,14186,170726,159490,54323,172201,normal
71388,40125,7462,3771,111513,78850,75159,47587,43896,11233,118975,115284,51358,122746,normal
107995,45316,26368,3048,153311,134363,111043,71684,48364,29416,179679,156359,74732,182727,normal
93491,130455,4264,2248,223946,97755,95739,134719,132703,6512,228210,226194,136967,230458,normal
58899,57144,7986,3235,116043,66885,62134,65130,60379,11221,124029,119278,68365,127264,normal
90712,37720,6245,1691,128432,96957,92403,43965,39411,7936,134677,130123,45656,136368,normal
103263,56998,10366,2134,160261,113629,105397,67364,59132,12500,170627,162395,69498,172761,normal
16067,42749,4997,2806,58816,21064,18873,47746,45555,7803,63813,61622,50552,66619,normal
254794,95441,21420,2287,350235,276214,257081,116861,97728,23707,371655,352522,119148,373942,normal
102213,37157,12919,3166,139370,115132,105379,50076,40323,16085,152289,142536,53242,155455,normal
298933,137927,6179,1248,436860,305112,300181,144106,139175,7427,443039,438108,145354,444287,normal
83293,54891,19274,3322,138184,102567,86615,74165,58213,22596,157458,141506,77487,160780,normal
130689,74500,8556,1021,205189,139245,131710,83056,75521,9577,213745,206210,84077,214766,normal
127551,130377,30519,4633,257928,158070,132184,160896,135010,35152,288447,262561,165529,293080,normal
191802,44387,7493,1376,236189,199295,193178,51880,45763,8869,243682,237565,53256,245058,normal
160293,67170,22779,12110,227463,183072,172403,89949,79280,34889,250242,239573,102059,262352,normal
218789,102884,26402,8582,321673,245191,227371,129286,111466,34984,348075,330255,137868,356657,normal
428852,478157,9633,5939,907009,438485,434791,487790,484096,15572,916642,912948,493729,922581,normal
116182,141724,12706,8102,257906,128888,124284,154430,149826,20808,270612,266008,162532,278714,normal
305655,215891,11594,1850,521546,317249,307505,227485,217741,13444,533140,523396,229335,534990,normal
49808,83616,10868,3864,133424,60676,53672,94484,87480,14732,144292,137288,98348,148156,normal
102351,144640,10491,8780,246991,112842,111131,155131,153420,19271,257482,255771,163911,266262,normal
29739,22070,3090,715,51809,32829,30454,25160,22785,3805,54899,52524,25875,55614,normal
21823,28042,2012,897,49865,23835,22720,30054,28939,2909,51877,50762,30951,52774,normal
6303,14805,929,166,21108,7232,6469,15734,14971,1095,22037,21274,15900,22203,normal
41294,272941,17847,5028,314235,59141,46322,290788,277969,22875,332082,319263,295816,337110,normal
143009,90978,5414,1113,233987,148423,144122,96392,92091,6527,239401,235100,97505,240514,normal
87186,124581,20334,11159,211767,107520,98345,144915,135740,31493,232101,222926,156074,243260,normal
125628,41710,8209,1169,167338,133837,126797,49919,42879,9378,175547,168507,51088,176716,normal
100663,128297,8938,790,228960,109601,101453,137235,129087,9728,237898,229750,138025,238688,normal
267308,221782,48096,2739,489090,315404,270047,269878,224521,50835,537186,491829,272617,539925,normal
241922,158364,5225,5057,400286,247147,246979,163589,163421,10282,405511,405343,168646,410568,normal
92780,83009,8862,7816,175789,101642,100596,91871,90825,16678,184651,183605,99687,192467,normal
55211,69439,10514,2296,124650,65725,57507,79953,71735,12810,135164,126946,82249,137460,normal
32300,38556,4828,1569,70856,37128,33869,43384,40125,6397,75684,72425,44953,77253,normal
168767,133259,13044,4568,302026,181811,173335,146303,137827,17612,315070,306594,150871,319638,normal
922647,446518,35928,11526,1369165,958575,934173,482446,458044,47454,1405093,1380691,493972,1416619,normal
186948,210572,17351,11265,397520,204299,198213,227923,221837,28616,414871,408785,239188,426136,normal
260718,130617,41268,12308,391335,301986,273026,171885,142925,53576,432603,403643,184193,444911,normal
58658,13363,2954,519,72021,61612,59177,16317,13882,3473,74975,72540,16836,75494,normal
280194,419518,23717,19543,699712,303911,299737,443235,439061,43260,723429,719255,462778,742972,normal
140036,24322,6759,1742,164358,146795,141778,31081,26064,8501,171117,166100,32823,172859,normal
195975,88194,26303,1294,284169,222278,197269,114497,89488,27597,310472,285463,115791,311766,normal
