Epithelial,Lymphocyte,Macrophage,Neutrophil,Epithelial.Lymphocyte,Epithelial.Macrophage,Epithelial.Neutrophil,Lymphocyte.Macrophage,Lymphocyte.Neutrophil,Macrophage.Neutrophil,Epithelial.Lymphocyte.Macrophage,Epithelial.Lymphocyte.Neutrophil,Lymphocyte.Macrophage.Neutrophil,Epithelial.Lymphocyte.Macrophage.Neutrophil,Label
506,56,12,0,562,518,506,68,56,12,574,562,68,574,normal
484,101,238,4,585,722,488,339,105,242,823,589,343,827,normal
2994,288,2177,1,3282,5171,2995,2465,289,2178,5459,3283,2466,5460,normal
508,267,386,2,775,894,510,653,269,388,1161,777,655,1163,normal
616,183,71,0,799,687,616,254,183,71,870,799,254,870,normal
7456,81,5978,3,7537,13434,7459,6059,84,5981,13515,7540,6062,13518,normal
8844,5005,3288,0,13849,12132,8844,8293,5005,3288,17137,13849,8293,17137,normal
274,31,120,0,305,394,274,151,31,120,425,305,151,425,normal
524,319,247,16,843,771,540,566,335,263,1090,859,582,1106,normal
105582,32449,2317,2962,138031,107899,108544,34766,35411,5279,140348,140993,37728,143310,normal
139192,151473,14957,21434,290665,154149,160626,166430,172907,36391,305622,312099,187864,327056,normal
16098,8564,885,892,24662,16983,16990,9449,9456,1777,25547,25554,10341,26439,normal
50836,81853,22283,13789,132689,73119,64625,104136,95642,36072,154972,146478,117925,168761,normal
45619,40833,1442,1584,86452,47061,47203,42275,42417,3026,87894,88036,43859,89478,normal
15822,25719,1746,2190,41541,17568,18012,27465,27909,3936,43287,43731,29655,45477,normal
124112,175141,10044,9222,299253,134156,133334,185185,184363,19266,309297,308475,194407,318519,normal
172079,46755,5835,16662,218834,177914,188741,52590,63417,22497,224669,235496,69252,241331,normal
137970,138924,967,3002,276894,138937,140972,139891,141926,3969,277861,279896,142893,280863,normal
136432,30821,2734,1585,167253,139166,138017,33555,32406,4319,169987,168838,35140,171572,normal
134053,91717,2683,7513,225770,136736,141566,94400,99230,10196,228453,233283,101913,235966,normal
81846,13151,845,1142,94997,82691,82988,13996,14293,1987,95842,96139,15138,96984,normal
26691,12867,569,411,39558,27260,27102,13436,13278,980,40127,39969,13847,40538,normal
40384,53403,3823,2614,93787,44207,42998,57226,56017,6437,97610,96401,59840,100224,normal
17986,47053,1017,736,65039,19003,18722,48070,47789,1753,66056,65775,48806,66792,normal
101550,226323,1419,2207,327873,102969,103757,227742,228530,3626,329292,330080,229949,331499,normal
127354,86952,1402,1095,214306,128756,128449,88354,88047,2497,215708,215401,89449,216803,normal
4879,4397,197,305,9276,5076,5184,4594,4702,502,9473,9581,4899,9778,normal
201371,76191,1444,2958,277562,202815,204329,77635,79149,4402,279006,280520,80593,281964,normal
75834,10010,3449,347,85844,79283,76181,13459,10357,3796,89293,86191,13806,89640,normal
48504,41245,1126,613,89749,49630,49117,42371,41858,1739,90875,90362,42984,91488,normal
119296,53912,5147,922,173208,124443,120218,59059,54834,6069,178355,174130,59981,179277,normal
74036,42351,3612,7738,116387,77648,81774,45963,50089,11350,119999,124125,53701,127737,normal
188989,173578,3969,5982,362567,192958,194971,177547,179560,9951,366536,368549,183529,372518,normal
140218,22712,12985,790,162930,153203,141008,35697,23502,13775,175915,163720,36487,176705,normal
85219,121139,1402,4643,206358,86621,89862,122541,125782,6045,207760,211001,127184,212403,normal
