"","Lymphocyte","group"
"TCGA-38-4626",36228,"High"
"TCGA-38-6178",83631,"High"
"TCGA-44-2661",125833,"High"
"TCGA-44-3396",48207,"High"
"TCGA-44-5643",33548,"High"
"TCGA-44-6148",29449,"High"
"TCGA-44-6778",77157,"High"
"TCGA-44-7660",31395,"High"
"TCGA-44-7667",22219,"High"
"TCGA-44-7672",31964,"High"
"TCGA-44-A479",106605,"High"
"TCGA-44-A47A",43277,"High"
"TCGA-49-4505",186783,"High"
"TCGA-49-4506",278281,"High"
"TCGA-49-4510",82141,"High"
"TCGA-49-4514",164065,"High"
"TCGA-49-6742",80358,"High"
"TCGA-49-6743",132002,"High"
"TCGA-49-6744",105368,"High"
"TCGA-49-6745",427528,"High"
"TCGA-49-AAQV",169073,"High"
"TCGA-49-AAR0",106440,"High"
"TCGA-49-AAR2",134676,"High"
"TCGA-49-AAR3",144546,"High"
"TCGA-49-AARE",70437,"High"
"TCGA-49-AARO",81884,"High"
"TCGA-49-AARQ",46950,"High"
"TCGA-4B-A93V",41084,"High"
"TCGA-50-5066",187800,"High"
"TCGA-50-5068",103562,"High"
"TCGA-50-5931",25319,"High"
"TCGA-50-5942",113398,"High"
"TCGA-50-5946",137655,"High"
"TCGA-50-7109",77910,"High"
"TCGA-50-8457",56660,"High"
"TCGA-53-7624",59807,"High"
"TCGA-53-7626",66781,"High"
"TCGA-55-1596",21500,"High"
"TCGA-55-6642",18324,"High"
"TCGA-55-6970",17287,"High"
"TCGA-55-6979",21339,"High"
"TCGA-55-6980",18887,"High"
"TCGA-55-7994",16100,"High"
"TCGA-55-8087",18365,"High"
"TCGA-55-8208",74450,"High"
"TCGA-55-8507",45222,"High"
"TCGA-55-8615",21086,"High"
"TCGA-62-A46O",17038,"High"
"TCGA-62-A471",92507,"High"
"TCGA-62-A472",68508,"High"
"TCGA-64-1676",32697,"High"
"TCGA-78-8660",53356,"High"
"TCGA-83-5908",51092,"High"
"TCGA-86-7713",18188,"High"
"TCGA-86-8054",17647,"High"
"TCGA-86-8279",38024,"High"
"TCGA-86-8358",102666,"High"
"TCGA-86-8668",29852,"High"
"TCGA-86-8669",279566,"High"
"TCGA-86-8671",19978,"High"
"TCGA-86-A456",42867,"High"
"TCGA-86-A4JF",98520,"High"
"TCGA-86-A4P8",23568,"High"
"TCGA-91-A4BD",41196,"High"
"TCGA-93-7347",85043,"High"
"TCGA-93-A4JN",159668,"High"
"TCGA-95-7567",321947,"High"
"TCGA-95-7944",259104,"High"
"TCGA-95-7947",16785,"High"
"TCGA-95-7948",88198,"High"
"TCGA-95-A4VK",173265,"High"
"TCGA-95-A4VN",410637,"High"
"TCGA-97-7547",134044,"High"
"TCGA-97-7553",29719,"High"
"TCGA-97-7554",71417,"High"
"TCGA-97-7937",85908,"High"
"TCGA-97-8171",25085,"High"
"TCGA-97-8172",343582,"High"
"TCGA-97-8175",76745,"High"
"TCGA-97-8177",269353,"High"
"TCGA-97-8179",19320,"High"
"TCGA-97-A4LX",65868,"High"
"TCGA-97-A4M0",49429,"High"
"TCGA-97-A4M1",75989,"High"
"TCGA-97-A4M2",173697,"High"
"TCGA-97-A4M5",54292,"High"
"TCGA-97-A4M6",30759,"High"
"TCGA-97-A4M7",333170,"High"
"TCGA-J2-8192",30546,"High"
"TCGA-J2-8194",89079,"High"
"TCGA-L9-A50W",62538,"High"
"TCGA-L9-A743",29559,"High"
"TCGA-L9-A7SV",204678,"High"
"TCGA-L9-A8F4",109457,"High"
"TCGA-MN-A4N1",202641,"High"
"TCGA-MN-A4N4",42880,"High"
"TCGA-MP-A4SY",41339,"High"
"TCGA-MP-A4T9",626305,"High"
"TCGA-MP-A4TD",149144,"High"
"TCGA-MP-A4TF",169137,"High"
"TCGA-MP-A4TH",175273,"High"
"TCGA-MP-A4TI",73261,"High"
"TCGA-MP-A5C7",42366,"High"
"TCGA-NJ-A4YF",195165,"High"
"TCGA-NJ-A4YG",22236,"High"
"TCGA-NJ-A4YQ",192338,"High"
"TCGA-NJ-A55R",50179,"High"
"TCGA-O1-A52J",63773,"High"
"TCGA-05-4249",0,"Low"
"TCGA-05-4382",2477,"Low"
"TCGA-05-4398",5103,"Low"
"TCGA-05-4405",1023,"Low"
"TCGA-05-4417",3891,"Low"
"TCGA-05-4420",1448,"Low"
"TCGA-05-4427",6974,"Low"
"TCGA-05-4430",2025,"Low"
"TCGA-05-5428",78,"Low"
"TCGA-44-2655",959,"Low"
"TCGA-44-2657",9557,"Low"
"TCGA-44-2659",3720,"Low"
"TCGA-44-3398",599,"Low"
"TCGA-44-3917",11956,"Low"
"TCGA-44-3919",14303,"Low"
"TCGA-44-6145",5598,"Low"
"TCGA-44-6774",16056,"Low"
"TCGA-44-6776",11214,"Low"
"TCGA-44-7659",12074,"Low"
"TCGA-44-7661",0,"Low"
"TCGA-44-7670",1426,"Low"
"TCGA-44-7671",1035,"Low"
"TCGA-44-A4SS",11237,"Low"
"TCGA-50-5044",1640,"Low"
"TCGA-50-5045",4485,"Low"
"TCGA-50-5055",8801,"Low"
"TCGA-50-6593",13843,"Low"
"TCGA-50-6594",2592,"Low"
"TCGA-55-5899",7331,"Low"
"TCGA-55-6543",3549,"Low"
"TCGA-55-6971",13000,"Low"
"TCGA-55-6982",2419,"Low"
"TCGA-55-6983",1386,"Low"
"TCGA-55-6986",15294,"Low"
"TCGA-55-6987",4515,"Low"
"TCGA-55-7227",6584,"Low"
"TCGA-55-7281",9761,"Low"
"TCGA-55-7283",2473,"Low"
"TCGA-55-7570",1224,"Low"
"TCGA-55-7573",6225,"Low"
"TCGA-55-7574",6141,"Low"
"TCGA-55-7576",8915,"Low"
"TCGA-55-7724",89,"Low"
"TCGA-55-7725",2050,"Low"
"TCGA-55-7726",8730,"Low"
"TCGA-55-7728",3534,"Low"
"TCGA-55-7815",13557,"Low"
"TCGA-55-7903",2321,"Low"
"TCGA-55-7907",3838,"Low"
"TCGA-55-7995",7408,"Low"
"TCGA-55-8085",3745,"Low"
"TCGA-55-8090",2247,"Low"
"TCGA-55-8091",5049,"Low"
"TCGA-55-8092",5043,"Low"
"TCGA-55-8094",1025,"Low"
"TCGA-55-8096",3386,"Low"
"TCGA-55-8097",6446,"Low"
"TCGA-55-8203",7109,"Low"
"TCGA-55-8204",783,"Low"
"TCGA-55-8205",6832,"Low"
"TCGA-55-8206",649,"Low"
"TCGA-55-8207",116,"Low"
"TCGA-55-8301",7814,"Low"
"TCGA-55-8302",1740,"Low"
"TCGA-55-8505",94,"Low"
"TCGA-55-8508",2167,"Low"
"TCGA-55-8510",4285,"Low"
"TCGA-55-8513",259,"Low"
"TCGA-55-8514",5199,"Low"
"TCGA-55-8614",3234,"Low"
"TCGA-55-8619",7185,"Low"
"TCGA-55-8621",3415,"Low"
"TCGA-55-A48Y",1278,"Low"
"TCGA-55-A48Z",5054,"Low"
"TCGA-55-A491",5879,"Low"
"TCGA-55-A492",3489,"Low"
"TCGA-55-A494",1210,"Low"
"TCGA-55-A4DF",3031,"Low"
"TCGA-55-A4DG",2564,"Low"
"TCGA-55-A57B",1183,"Low"
"TCGA-62-A46P",5326,"Low"
"TCGA-62-A46S",13186,"Low"
"TCGA-62-A46V",2108,"Low"
"TCGA-62-A470",14545,"Low"
"TCGA-64-1678",5552,"Low"
"TCGA-64-1679",2844,"Low"
"TCGA-64-1680",7620,"Low"
"TCGA-64-5774",9162,"Low"
"TCGA-64-5778",12748,"Low"
"TCGA-86-7701",3,"Low"
"TCGA-86-7711",5,"Low"
"TCGA-86-7953",339,"Low"
"TCGA-86-7955",30,"Low"
"TCGA-86-8073",121,"Low"
"TCGA-86-8075",955,"Low"
"TCGA-86-8076",1799,"Low"
"TCGA-86-8673",2379,"Low"
"TCGA-86-8674",3222,"Low"
"TCGA-86-A4P7",2176,"Low"
"TCGA-93-A4JP",12580,"Low"
"TCGA-95-8039",20,"Low"
"TCGA-97-8552",702,"Low"
"TCGA-99-7458",55,"Low"
"TCGA-99-8025",10643,"Low"
"TCGA-99-8028",8402,"Low"
"TCGA-L4-A4E6",15752,"Low"
"TCGA-L9-A5IP",9812,"Low"
"TCGA-MP-A4TA",804,"Low"
"TCGA-S2-AA1A",3279,"Low"
