name,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_ESTROGEN_RESPONSE_EARLY.1,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
TCGA-05-4249,-0.137392123,-0.021781116,0.166990567,-0.04424503,0.118613039,-0.282206124,-0.070124338,-0.073607306,-0.238104034,-0.147746585,-0.044932416,-0.168354314,-0.390227589,0.104955037,-0.160098025,-0.18847335,-0.309362419,-0.134765564,0.273758188,0.133576435,-0.301174199,0.037127291,0.141451949,0.042114071,0.001929195,0.005450429,-0.067886087,-0.064069754,-0.382656772,-0.213799095,-0.312179242,-0.1232882,0.223345259,-0.289159307,0.065725154,0.036926938,0.01656448,0.175655701,0.229180638,-0.039234736,-0.197922577,0.1650596,-0.176559045,-0.012494446,0.197477283,-0.071005027,-0.063342386,-0.112613655,0.104955037,-0.053764039,-0.353463911
TCGA-05-4382,-0.207387461,0.291886864,-0.167652671,0.290000877,0.284702939,0.020057263,0.053099219,-0.327214503,0.121282643,0.161900426,0.280073332,-0.239892183,-0.30991921,-0.081599005,-0.192446717,-0.179080171,-0.261653792,0.098443687,0.068969082,-0.01821423,0.350111445,0.069363487,0.408333721,-0.176137118,0.056617497,-0.107062562,0.224760999,-0.030397728,0.035742345,-0.380491362,-0.50090162,0.298671607,0.337635016,-0.266794552,-0.062952181,0.030460206,-0.308834512,0.08899683,-0.054723428,-0.195503655,-0.029985961,0.057655086,0.205821435,-0.12047854,0.030059323,-0.068049248,0.02638426,-0.014757857,-0.081599005,0.339707914,0.540973115
TCGA-05-4398,-0.02449025,0.37039623,-0.070260656,0.05751095,0.029083336,0.268254477,0.023183171,-0.305663655,0.148791274,-0.157764499,0.088104854,0.142912659,0.313124769,-0.037642045,-0.014778843,-0.111652647,0.196503731,0.177506748,-0.005042182,-0.040349495,0.403452252,0.132438311,0.496825747,0.414125804,0.388434481,-0.12293305,0.070481929,0.03257216,0.225433978,0.347852142,0.49239373,-0.121659695,-0.132257798,-0.14704477,-0.1267988,-0.38329019,-0.158253684,0.222870204,-0.099971658,0.14167747,0.10130077,-0.0329849,0.408005528,0.17329355,-0.281436232,0.088318512,-0.129864064,-0.156578011,-0.037642045,0.365573217,0.160487719
TCGA-05-4405,-0.193986528,-0.15405052,0.143023147,0.226643142,0.323610314,0.16171331,0.066256931,-0.00038269,-0.092604798,0.061993024,-0.167997373,-0.42007076,-0.447770615,0.155309082,-0.016725402,-0.378820356,-0.327421385,-0.141902815,0.420728483,0.198928373,-0.17518644,-0.155346842,-0.05121598,0.00270003,-0.123659473,-0.040288839,0.048808874,0.143554731,-0.343098647,-0.45556337,-0.234499897,0.328395828,0.313743802,-0.492898842,-0.072427727,-0.081329167,-0.175344287,-0.045184691,-0.035312936,-0.31980073,-0.052746456,0.375128294,-0.128145443,-0.158490989,0.331275816,-0.15211583,0.291300694,-0.230970313,0.155309082,-0.036974445,0.366277919
TCGA-05-4417,0.035302527,0.446246798,0.236783198,0.56058215,0.24230893,0.248263144,0.155983719,-0.108015988,-0.218590157,0.421513612,0.366347042,-0.344995156,-0.368908086,0.14062758,0.084280201,-0.042438318,-0.195034307,-0.106130628,0.276069231,0.127791892,0.164524066,0.359833614,0.391523494,-0.012279161,0.26275351,0.029601792,0.37542104,0.046371064,0.02960375,-0.222926298,-0.3309762,0.285660276,0.109164566,-0.000538449,-0.121017199,0.382942313,-0.114812979,0.234283447,0.309368183,-0.118898266,-0.025935104,0.292660558,0.413990148,0.116350827,0.248198568,0.124667791,0.123407168,0.037251462,0.14062758,0.388880355,0.564751091
TCGA-05-4420,0.178858802,-0.413347801,-0.003210366,-0.07389501,-0.168635178,-0.249439756,-0.295388985,-0.043020047,-0.027707262,-0.040543615,-0.322000159,0.315239796,0.434856664,-0.270024564,-0.023433921,0.042941382,0.317723803,0.181996338,-0.511544466,-0.000421092,-0.165587707,-0.225934577,-0.348893956,-0.514277072,-0.502848222,-0.157495895,-0.304455638,-0.205061449,0.268335587,0.387933707,0.230014816,-0.204354485,-0.256594251,0.378421584,-0.179585909,0.118509733,0.028672934,0.030915803,0.173279454,-0.247057797,0.334145565,-0.342253719,-0.403426415,0.31200463,-0.287143664,0.11503711,-0.304554212,-0.101880996,-0.270024564,-0.238419084,-0.131993469
TCGA-05-4427,-0.160958735,0.060686116,0.087328588,-0.03977352,0.013789462,-0.057305854,0.123833538,-0.19602079,-0.093163997,-0.201623529,-0.016030889,0.03495518,0.401317305,-0.124704666,-0.166080553,-0.249385197,0.490749057,-0.205383849,-0.032164989,0.131985669,0.014685957,-0.031550645,0.010232974,0.089988117,0.117698136,-0.327392137,0.004420989,0.500904245,-0.074905073,0.137895396,-0.153586473,-0.167135092,-0.200538957,-0.384898621,-0.095014429,-0.196191987,-0.203195603,0.270575887,0.303926761,-0.319458097,0.056388372,0.322064923,0.229974475,-0.015237574,0.238719769,-0.074331438,-0.194220852,-0.347627654,-0.124704666,0.108806096,0.021733069
TCGA-05-4430,0.046744217,0.218722744,0.17253418,0.520033092,0.399130512,0.120750123,0.072660129,0.062641212,0.0513503,0.37761686,0.274306054,-0.092717001,-0.383652818,-0.016023659,0.064585369,-0.11443014,-0.410534809,-0.027763844,0.210010725,0.083727615,0.009254955,0.120569038,0.279779683,0.142512791,0.140002128,0.099599823,0.270797842,-0.368029268,-0.215082766,-0.124162647,-0.227211037,0.276969204,0.376409745,0.02710205,-0.097443995,0.247840215,-0.157762678,0.166315223,-0.037660947,-0.168463358,-0.040746306,0.248154416,0.088147323,-0.003431486,0.177099092,0.18461252,0.045476717,-0.031887152,-0.016023659,0.277480752,0.569786322
TCGA-05-5428,0.353215272,0.08541143,0.030584434,-0.044473046,-0.301550662,-0.160222172,0.020794821,0.124013612,0.238199781,-0.075856408,-0.007157353,0.299336777,0.317802501,-0.246723467,0.044376633,0.350234719,0.030594644,0.261100562,-0.586196383,0.029408143,0.139633237,-0.071678427,0.060609672,-0.204225079,-0.12385824,-0.211501675,-0.036216988,-0.412114383,0.378954984,0.484241756,0.349081471,-0.233579867,-0.072472612,0.5265579,-0.050988067,0.139171641,0.150058015,-0.117016075,0.063513515,0.472608129,0.19673591,-0.242415849,-0.147043222,0.059212307,-0.359165661,0.130148299,-0.424998903,0.204800546,-0.246723467,0.002055924,-0.08155196
TCGA-38-4626,0.297123977,0.341288232,0.23691198,0.619813987,0.281708738,0.288963734,0.169802427,0.320068969,0.525982924,0.417251701,0.425292458,-0.478414293,-0.623056359,0.236696767,0.190174553,0.196260558,-0.515221176,-0.217836204,0.247716112,0.297372159,0.234623816,0.356261418,0.517739928,0.338508256,0.387692596,0.215916041,0.376895128,-0.18804835,0.009396761,-0.569094606,-0.601199032,0.419018253,-0.184094297,-0.199544765,0.261373817,0.275162316,0.101990593,0.189029456,0.002188764,0.179908737,-0.006835954,0.25313636,0.504577735,-0.26854089,0.354695423,0.123684229,-0.130030993,0.328307814,0.236696767,0.548802406,0.473815042
TCGA-38-6178,-0.021296612,-0.297973754,0.115851961,0.164025048,0.290334726,0.096478699,-0.009248802,-0.137419391,-0.298437183,-0.009637848,-0.134170263,-0.1996676,-0.314057997,0.088916493,-0.077276939,-0.281881971,-0.191467331,0.123508536,0.3737554,0.056319045,0.059448078,-0.139300472,-0.123343685,0.345066439,0.127999861,0.052707857,-0.085609737,0.122980555,-0.028024062,-0.078904068,0.248455174,0.210441978,0.212895988,-0.388695034,-0.077755907,-0.289752022,-0.01199075,-0.028711171,0.142810911,-0.332210408,-0.256325056,0.13065982,-0.296636724,0.05627436,0.297492752,-0.021767253,0.261373182,-0.212705318,0.088916493,-0.154093929,0.40510378
