"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"TSPAN6",3346.3885396196,-0.0697393846291977,0.0983339088858204,-0.709209929915173,0.47819421228126,0.772944831789053,-0.0483396578297139,"High vs Low","TSPAN6",0.772944831789053
"TNMD",1.88086781618371,0.149911450266273,0.34990775180825,0.42843134938155,0.668337104777795,0.872624726035193,0.10391069908572,"High vs Low","TNMD",0.872624726035193
"DPM1",1655.79718960162,0.00846433930253894,0.082005691074902,0.103216486460773,0.917791155493505,0.976245539343923,0.00586703292285766,"High vs Low","DPM1",0.976245539343923
"SCYL3",966.199865314933,0.0717432231035094,0.0610226220573313,1.17568240571678,0.239721811942171,0.58403602013007,0.0497286128184807,"High vs Low","SCYL3",0.58403602013007
"C1orf112",459.20446669976,0.0823987205757112,0.0954932037759106,0.862875234232086,0.388206068565152,0.711826876096481,0.057114440848801,"High vs Low","C1orf112",0.711826876096481
"FGR",1206.00209381479,-0.0674377959021159,0.143587305479962,-0.469664053355516,0.638595053809018,0.857196744767782,-0.0467443180927286,"High vs Low","FGR",0.857196744767782
"CFH",5628.92786012734,-0.111676046434119,0.150843673474796,-0.740342924973777,0.459091941208669,0.759721012353748,-0.0774079367218914,"High vs Low","CFH",0.759721012353748
"FUCA2",3757.80410593866,-0.0524019618609937,0.0859155264121481,-0.609924236623013,0.541911996611072,0.811414008299762,-0.0363222721197576,"High vs Low","FUCA2",0.811414008299762
"GCLC",5648.86410286989,0.0331005224079405,0.231719543109142,0.142847348841655,0.886410741531944,0.964417013747142,0.0229435337821254,"High vs Low","GCLC",0.964417013747142
"NFYA",2256.04754889119,-0.106799650891009,0.07794634607374,-1.37016879264581,0.170634217526371,0.506952616150998,-0.074027876899889,"High vs Low","NFYA",0.506952616150998
"STPG1",592.313540814034,0.0242907184453423,0.0816307483674555,0.2975682439661,0.76603271479443,0.920716609866921,0.0168370430041644,"High vs Low","STPG1",0.920716609866921
"NIPAL3",2425.36599401283,-0.00842464594473689,0.0917693571619922,-0.0918023859518337,0.926855048354139,0.979617484406215,-0.00583951958381012,"High vs Low","NIPAL3",0.979617484406215
"LAS1L",2230.83875445743,0.0873288998288444,0.0608072358088131,1.43615967190844,0.150956911515673,0.483169077879332,0.0605317806977655,"High vs Low","LAS1L",0.483169077879332
