"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"NNAT",4.1032779209523,3.42334587710523,6.28114900184205e-29,1.18531562813761e-24,"High vs Low","NNAT",1.18531562813761e-24
"STAR",3.94283808706508,1.2715314618183,6.70115167693167e-27,4.46943462199102e-23,"High vs Low","STAR",4.46943462199102e-23
"CYP17A1",3.92746484659514,1.96039065282992,7.10524289437394e-27,4.46943462199102e-23,"High vs Low","CYP17A1",4.46943462199102e-23
"SPINK4",-6.38304181679845,4.34141026297518,1.2579265059635e-26,5.9345827735093e-23,"High vs Low","SPINK4",5.9345827735093e-23
"DKK4",-6.8797670661263,2.26602433349586,6.98642210543026e-24,2.2296797742741e-20,"High vs Low","DKK4",2.2296797742741e-20
"DHRS2",3.83274968313731,3.75564354009535,7.0892261383311e-24,2.2296797742741e-20,"High vs Low","DHRS2",2.2296797742741e-20
"DUOXA2",-3.6112653906157,1.93480480055958,1.37825556298689e-23,3.53315913331989e-20,"High vs Low","DUOXA2",3.53315913331989e-20
"ELAVL3",4.5270135979129,-0.281264168795947,1.49781532862907e-23,3.53315913331989e-20,"High vs Low","ELAVL3",3.53315913331989e-20
"CYP2B6",-4.85557625117104,1.57743638157912,7.01671122207461e-23,1.471248416353e-19,"High vs Low","CYP2B6",1.471248416353e-19
"HIST1H2BB",-5.66253037854949,-0.426949633995176,3.81666659710818e-22,7.20243153540284e-19,"High vs Low","HIST1H2BB",7.20243153540284e-19
"SPIC",4.91949269158594,-0.43110568708968,8.15209018207637e-22,1.29694718522557e-18,"High vs Low","SPIC",1.29694718522557e-18
"CDH22",4.21520177125857,0.450409500232265,8.24723979794759e-22,1.29694718522557e-18,"High vs Low","CDH22",1.29694718522557e-18
"WNT16",-3.91648454977823,2.68040758609861,1.06547595277074e-21,1.54527445196697e-18,"High vs Low","WNT16",1.54527445196697e-18
"REG4",-5.45073513030264,3.3761690900637,1.14640677905451e-21,1.54527445196697e-18,"High vs Low","REG4",1.54527445196697e-18
"HIST1H1B",-4.85127114933718,1.72483756439284,3.02500799287616e-21,3.80566172223773e-18,"High vs Low","HIST1H1B",3.80566172223773e-18
"HMP19",4.66562972557103,1.93880924780102,4.77508232577969e-21,5.44775048131271e-18,"High vs Low","HMP19",5.44775048131271e-18
"CPB1",4.2995342106402,1.88892875349406,4.90762324107446e-21,5.44775048131271e-18,"High vs Low","CPB1",5.44775048131271e-18
"CYP11B1",8.83465177010292,0.724621132320131,8.11884366144592e-21,8.51170548528589e-18,"High vs Low","CYP11B1",8.51170548528589e-18
"DEFA5",-11.1654837371956,2.84940810626542,1.53658062059291e-20,1.52614804690573e-17,"High vs Low","DEFA5",1.52614804690573e-17
"HSD3B2",5.32440057267417,0.00265303320583648,1.01468263245586e-19,9.57403797853729e-17,"High vs Low","HSD3B2",9.57403797853729e-17
"HIST1H4C",-3.84745196573746,0.358191864576352,1.25133509855707e-19,1.12447355451764e-16,"High vs Low","HIST1H4C",1.12447355451764e-16
"FGF3",-5.96214907598464,-1.3356775346573,1.64938564966827e-19,1.3642743075218e-16,"High vs Low","FGF3",1.3642743075218e-16
"GLRA4",4.76482629443614,-1.57795624160196,1.68329588182693e-19,1.3642743075218e-16,"High vs Low","GLRA4",1.3642743075218e-16
"NPY",7.47043304508115,4.08623229023559,1.741211735868e-19,1.3642743075218e-16,"High vs Low","NPY",1.3642743075218e-16
"SLC7A14",4.57981096368543,-0.581158968458483,1.80736885634281e-19,1.3642743075218e-16,"High vs Low","SLC7A14",1.3642743075218e-16
"ADAD2",2.90727426302205,-0.947750929980006,3.50449769686269e-19,2.54359138605753e-16,"High vs Low","ADAD2",2.54359138605753e-16
"PSG1",7.4731076902595,0.691421008862001,3.92025514655833e-19,2.73996795817416e-16,"High vs Low","PSG1",2.73996795817416e-16
"DUOX2",-2.67298680723728,4.36634692751385,9.01720928388017e-19,6.07727701414652e-16,"High vs Low","DUOX2",6.07727701414652e-16
"PEX5L",2.71214257337979,0.929727388702814,1.06111969102853e-18,6.90496196186187e-16,"High vs Low","PEX5L",6.90496196186187e-16
"HIST1H4D",-4.08423360011634,0.549544452917439,1.7081547842086e-18,1.07448629776001e-15,"High vs Low","HIST1H4D",1.07448629776001e-15
"MSTN",2.83240110794117,-0.0767564512391337,3.0343114863309e-18,1.84711264705001e-15,"High vs Low","MSTN",1.84711264705001e-15
"CYP11A1",2.5617755232277,1.82201303925906,4.54611445901105e-18,2.68092893612492e-15,"High vs Low","CYP11A1",2.68092893612492e-15
