"","logFC","AveExpr","t","P.Value","adj.P.Val","B","group","genesymbol"
"PRR22",0.523688568097638,1.12314678097195,4.38477363265376,1.81423875510535e-05,0.181684546408239,2.2448038868566,"High vs Low","PRR22"
"PLEKHG4",2.17356761280248,3.93097712622257,4.27053181423822,2.92298987289805e-05,0.181684546408239,1.86318274452214,"High vs Low","PLEKHG4"
"CHTF18",1.41861775926473,3.57045650495883,4.19317183248651,4.01545498138933e-05,0.181684546408239,1.60944963528984,"High vs Low","CHTF18"
"E2F4",3.4895752950392,20.2846407702908,4.08869340540384,6.12262172606834e-05,0.181684546408239,1.27285850816549,"High vs Low","E2F4"
"R3HDM2",1.43142239445294,7.61100852576157,4.07814248134151,6.38619982286306e-05,0.181684546408239,1.23925960267122,"High vs Low","R3HDM2"
"ILF3",4.00932798155378,24.8292787131379,4.04359616118145,7.32698142980966e-05,0.181684546408239,1.12975546182157,"High vs Low","ILF3"
"SNAPC4",1.07594066108907,4.46475396139215,4.0299104539608,7.735019005338e-05,0.181684546408239,1.08659016069592,"High vs Low","SNAPC4"
"DDX28",1.17808550197164,6.50114034738935,3.93310704662029,0.000113030348070666,0.215036312643478,0.784779539912432,"High vs Low","DDX28"
"C9orf173",0.464287174589298,0.642946779086011,3.8904260424254,0.00013330620585714,0.215036312643478,0.653677474747301,"High vs Low","C9orf173"
"NDOR1",1.49028667485706,6.02208607839386,3.85979332359153,0.000149936755750744,0.215036312643478,0.560331361435255,"High vs Low","NDOR1"
"ARF4",-17.8011120259831,105.610907845687,-3.85934449040769,0.000150194457748389,0.215036312643478,0.558968304438127,"High vs Low","ARF4"
"MTG1",0.599042634553296,2.09037128923258,3.84784545192558,0.00015694171948192,0.215036312643478,0.524092946552081,"High vs Low","MTG1"
"RHOT2",3.69879905058686,16.5879394984826,3.75812066759196,0.000220365918631285,0.254893064494024,0.255018116010514,"High vs Low","RHOT2"
"TAF1C",2.20930065337607,8.50483629266295,3.75253889523702,0.000225022543751496,0.254893064494024,0.238458476927049,"High vs Low","TAF1C"
"SCAF4",1.22027733557175,7.24726019892571,3.74375612589124,0.000232538375344263,0.254893064494024,0.21244507507066,"High vs Low","SCAF4"
"ACD",1.24978904189498,5.60726217334532,3.70454575026558,0.000269080262209894,0.260868216794137,0.0969481267116903,"High vs Low","ACD"
"ATXN7L2",0.320345122194132,1.23114899347597,3.7018655348039,0.000271766467713071,0.260868216794137,0.0890915642240975,"High vs Low","ATXN7L2"
"CHERP",1.37549584806287,7.78087388475894,3.68845875972484,0.000285587392184313,0.260868216794137,0.0498655974481901,"High vs Low","CHERP"
"TTC31",0.829188461034921,5.54510683498825,3.6654556542812,0.000310857881348573,0.269006593954381,-0.0171515596748248,"High vs Low","TTC31"
"SNRPA",4.07032399096056,25.0865964431532,3.64148744622243,0.000339422369045778,0.26974254674368,-0.086595004230718,"High vs Low","SNRPA"
"CLASRP",2.03677207740294,7.95607386877871,3.63062398490705,0.000353167727646474,0.26974254674368,-0.11794002795148,"High vs Low","CLASRP"
"WDR90",1.10732019128909,3.54830192708879,3.62347540611724,0.000362496875427511,0.26974254674368,-0.138522012426063,"High vs Low","WDR90"
"FUK",0.95052020778904,4.39991393328619,3.61042234264532,0.000380133099526491,0.26974254674368,-0.176013276084096,"High vs Low","FUK"
"NMRAL1",2.46381762052048,13.950033247597,3.59194492669371,0.000406483007172805,0.26974254674368,-0.228883676839295,"High vs Low","NMRAL1"
"E4F1",1.00241195565893,4.94489409038284,3.56457435070052,0.000448689593818649,0.26974254674368,-0.30676705608364,"High vs Low","E4F1"
"LIG1",1.32435903924909,5.50756193071795,3.55449181003075,0.000465250166101296,0.26974254674368,-0.335326346830522,"High vs Low","LIG1"
"MYL5",0.728065538609905,2.34612990624515,3.54594630207633,0.00047973403543577,0.26974254674368,-0.359476711332035,"High vs Low","MYL5"
"DDX51",0.828235763313207,4.27905572590142,3.53941832915193,0.000491082543840317,0.26974254674368,-0.377891184882004,"High vs Low","DDX51"
"ZBTB17",1.14962301818788,6.81029966390175,3.51462165524017,0.000536528432496364,0.26974254674368,-0.447568992438623,"High vs Low","ZBTB17"
"TELO2",2.32183236171703,10.879475572156,3.51305759302143,0.000539523353413421,0.26974254674368,-0.451949601859987,"High vs Low","TELO2"
"SYCE1L",0.789715463802087,1.74651093244905,3.51226704755901,0.00054104307779039,0.26974254674368,-0.454163104856089,"High vs Low","SYCE1L"
"FBRSL1",1.49667364265136,7.09469491599189,3.50560230437968,0.000554015794261289,0.26974254674368,-0.472806860982457,"High vs Low","FBRSL1"
"ZNF598",1.96847473343844,10.045788402542,3.50392630371768,0.000557323682251277,0.26974254674368,-0.477490381366852,"High vs Low","ZNF598"
"CENPT",1.66360434600172,5.37490100720246,3.4963025894372,0.000572605563430867,0.26974254674368,-0.498769825264461,"High vs Low","CENPT"
"H1FX",14.9243861610629,70.4554279296242,3.49551840978094,0.00057419955820635,0.26974254674368,-0.500956339832895,"High vs Low","H1FX"
"TCHP",0.348498837029735,2.25516933420419,3.46774042662212,0.000633422590569846,0.275417885614063,-0.578131903785567,"High vs Low","TCHP"
"PAM16",0.95519465789707,4.56378778800416,3.46639284325909,0.000636436363207788,0.275417885614063,-0.581862160701075,"High vs Low","PAM16"
"KMT2D",1.3352281923379,6.64290708437086,3.46615000802027,0.000636980872824559,0.275417885614063,-0.582534219694533,"High vs Low","KMT2D"
"GSE1",3.61790490650919,13.5571841897462,3.45227747758465,0.000668821807415139,0.275417885614063,-0.620858527332532,"High vs Low","GSE1"
"KATNB1",0.993887676510925,5.97320792401581,3.4393608642347,0.000699802746677336,0.275417885614063,-0.656420611926228,"High vs Low","KATNB1"
"RCC2",9.53542389255215,44.4816903772152,3.43226053878345,0.000717400081036542,0.275417885614063,-0.675919335578897,"High vs Low","RCC2"
"HAUS8",0.347473689166891,1.5607482377126,3.42873405841893,0.000726293117005258,0.275417885614063,-0.685590485313936,"High vs Low","HAUS8"
"EME2",0.785369304845954,2.4268161862687,3.42451575673311,0.000737066214645131,0.275417885614063,-0.697147418375527,"High vs Low","EME2"
"EWSR1",2.75388448024789,21.9823030657117,3.42043026742467,0.000747642437612775,0.275417885614063,-0.708328543974412,"High vs Low","EWSR1"
"ESRP2",3.66943443428362,15.1935201340221,3.41808053361463,0.000753789371891063,0.275417885614063,-0.714753947697454,"High vs Low","ESRP2"
"SPG7",1.31754223195852,6.82409658062479,3.40439324083586,0.000790545095869332,0.279518547601841,-0.752104838753601,"High vs Low","SPG7"
"HIC2",0.424236043681851,1.22703633123602,3.40132435013469,0.000799012999470047,0.279518547601841,-0.760461322066685,"High vs Low","HIC2"
"USP36",1.11079696074693,7.21775399730028,3.39102502742167,0.000828055235280022,0.283454891543249,-0.788457427512919,"High vs Low","USP36"
"MAU2",0.809424118746297,5.58787467810157,3.38525812902507,0.000844744537502687,0.283454891543249,-0.804100559307565,"High vs Low","MAU2"
"TEX22",0.0862256209880916,0.226350337761688,3.37562679254786,0.000873319657395097,0.285098301837384,-0.830173831631073,"High vs Low","TEX22"
"DHX16",2.17596577527115,14.105259526365,3.36878208872771,0.000894172954675087,0.285098301837384,-0.84866342913202,"High vs Low","DHX16"
"XAB2",1.83978738352943,12.448275669804,3.36636056143873,0.000901661093269917,0.285098301837384,-0.855196756127502,"High vs Low","XAB2"
"USP20",1.07238414762372,6.68757863918843,3.35772766168177,0.000928835670678157,0.288149360326231,-0.878454675356302,"High vs Low","USP20"
