"","TCGA-44-7660","TCGA-97-A4M6","TCGA-97-7937","TCGA-62-A472","TCGA-49-6743","TCGA-64-1676","TCGA-86-8279","TCGA-97-A4M5","TCGA-55-8208","TCGA-95-A4VN","TCGA-86-8668","TCGA-NJ-A4YQ","TCGA-44-2661","TCGA-97-7553","TCGA-50-5068","TCGA-L9-A7SV","TCGA-NJ-A55R","TCGA-97-A4M7","TCGA-49-4514","TCGA-44-5643","TCGA-93-7347","TCGA-95-A4VK","TCGA-44-7667","TCGA-MP-A4TI","TCGA-55-6979","TCGA-44-6778","TCGA-86-8358","TCGA-38-6178","TCGA-49-4506","TCGA-97-8172","TCGA-O1-A52J","TCGA-49-AAQV","TCGA-53-7626","TCGA-97-A4M2","TCGA-50-5931","TCGA-L9-A743","TCGA-50-8457","TCGA-MP-A4T9","TCGA-44-7672","TCGA-97-8175","TCGA-55-8087","TCGA-97-A4LX","TCGA-55-8615","TCGA-49-6745","TCGA-49-AARQ","TCGA-97-A4M1","TCGA-83-5908","TCGA-97-8179","TCGA-44-3396","TCGA-53-7624","TCGA-L9-A50W","TCGA-86-7713","TCGA-49-AARE","TCGA-49-AAR0","TCGA-55-6980","TCGA-MP-A4SY","TCGA-49-6744","TCGA-86-8671","TCGA-49-4510","TCGA-97-8177","TCGA-50-7109","TCGA-78-8660","TCGA-97-7547","TCGA-49-6742","TCGA-50-5946","TCGA-86-8054","TCGA-MP-A4TD","TCGA-95-7944","TCGA-NJ-A4YF","TCGA-91-A4BD","TCGA-55-7994","TCGA-97-8171","TCGA-55-6642","TCGA-86-A4P8","TCGA-49-AARO","TCGA-J2-8192","TCGA-62-A46O","TCGA-86-A4JF","TCGA-L9-A8F4","TCGA-55-8507","TCGA-95-7948","TCGA-44-6148","TCGA-MN-A4N1","TCGA-49-4505","TCGA-50-5942","TCGA-J2-8194","TCGA-97-A4M0","TCGA-95-7567","TCGA-95-7947","TCGA-MP-A4TH","TCGA-97-7554","TCGA-49-AAR3","TCGA-44-A479","TCGA-4B-A93V","TCGA-38-4626","TCGA-55-6970","TCGA-55-1596","TCGA-62-A471","TCGA-86-A456","TCGA-MP-A4TF","TCGA-44-A47A","TCGA-NJ-A4YG","TCGA-93-A4JN","TCGA-50-5066","TCGA-49-AAR2","TCGA-86-8669","TCGA-MP-A5C7","TCGA-MN-A4N4","TCGA-50-6593","TCGA-55-7728","TCGA-55-8090","TCGA-55-8514","TCGA-62-A470","TCGA-55-8614","TCGA-97-8552","TCGA-55-8092","TCGA-55-6983","TCGA-44-7659","TCGA-55-7724","TCGA-55-7570","TCGA-55-A4DF","TCGA-55-7573","TCGA-MP-A4TA","TCGA-55-7907","TCGA-55-5899","TCGA-55-7574","TCGA-86-8073","TCGA-93-A4JP","TCGA-64-1678","TCGA-44-2657","TCGA-86-7953","TCGA-62-A46S","TCGA-55-8204","TCGA-50-5055","TCGA-44-6776","TCGA-86-8673","TCGA-44-A4SS","TCGA-55-8085","TCGA-64-1679","TCGA-55-8505","TCGA-55-8621","TCGA-44-3398","TCGA-05-4417","TCGA-55-8096","TCGA-99-7458","TCGA-55-6986","TCGA-44-6145","TCGA-99-8025","TCGA-86-7711","TCGA-86-8075","TCGA-86-7955","TCGA-86-A4P7","TCGA-64-5774","TCGA-64-1680","TCGA-50-5044","TCGA-55-7903","TCGA-55-8508","TCGA-55-A4DG","TCGA-55-7726","TCGA-05-4430","TCGA-55-8513","TCGA-05-4420","TCGA-62-A46P","TCGA-62-A46V","TCGA-55-6987","TCGA-55-7281","TCGA-44-2655","TCGA-86-8674","TCGA-L4-A4E6","TCGA-05-4427","TCGA-55-8301","TCGA-55-8510","TCGA-55-8302","TCGA-05-4405","TCGA-55-6971","TCGA-55-A48Z","TCGA-05-5428","TCGA-55-8097","TCGA-99-8028","TCGA-86-7701","TCGA-44-7670","TCGA-05-4249","TCGA-55-A492","TCGA-S2-AA1A","TCGA-55-8091","TCGA-55-8206","TCGA-55-8094","TCGA-05-4382","TCGA-44-7661","TCGA-55-8205","TCGA-55-7283","TCGA-55-A48Y","TCGA-55-7995","TCGA-44-3919","TCGA-55-7725","TCGA-L9-A5IP","TCGA-55-8619","TCGA-55-7227","TCGA-55-6543","TCGA-55-6982","TCGA-50-5045","TCGA-05-4398","TCGA-55-A57B","TCGA-55-8207","TCGA-55-7576","TCGA-55-A494","TCGA-44-7671","TCGA-44-6774","TCGA-50-6594","TCGA-55-A491","TCGA-95-8039","TCGA-86-8076","TCGA-44-2659","TCGA-55-8203","TCGA-44-3917","TCGA-64-5778","TCGA-55-7815"
"TAC1","    8","    0","    0","    1","    0","    0","    0","    1","    1","    4","    0","    0","    0","    1","    0","    0","  383","    2","    0","    0","    1","    9","    0","    0","    0","    1","   54","    1","    0","    0","    1","   75","    1","    0","    3","    0","    0","    9","    2","    0","    1","    7","    0","    0","    5","    0","    1","    1","    1","   99","    0","    1","    1","   26","   13","    0","    0","    0","    6","    1","    0","    0","   10","   13","    0","    1","    1","    0","    0","    1","    0","    0","    0","    0","    0","    1","    2","    0","    1","    0","    0","    1","    0","    1","    0","    0","    0","    0","    0","    1","    0","    0","  167","    1","    4","    0","    5","    0","    2","    4","    1","    0","    2","    2","    0","    4","    0","    0","    0","    0","    1","    1","    0","    1","    1","    0","   23","    1","    0","  304","    0","    0","    4","   48","66303","    0","    1","    0","   55","    0","    0","    0","    0","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    2","    0","   70","    0","    0","  139","    0","    0","    0","    0","    0","    0","    1","    0","    0","    0","    0","    1","    0","    1","    0","    0","    0","    0","    2","    1","    1","    0","  241","    1","    0","    3","  148","  220","    0","    0","    0","    2","    0","    6","    0","    2","    0","    1","    0","    0","    0","    0","    3","   20","    1","    0","    0","    9","    6","    2","   13","    1","    2","    0","   23","  251","    3","    1","    3","    0","    0","    0","    0","    0"
"SLC13A2","    6","  396","    2","    0","    4","    0","    6","   20","   43","    1","    4","    3","  187","   10","    1","  713","  599"," 5466","    7","   29","   81","    2","    0","    0","    1","   14","    2","   40","    0"," 3180","   79","  285","    5","   27","    0","    6","   53","   11","   12","   32"," 8541","    0","  725","    4","    9","  613","    3","    2","    0","    1"," 1197","    3","    6","   21","    1","    7","   16","   83","    6","  807","    8","   30","12173","   58","   80","   46"," 6542","   46","    2","    6","    1"," 6903","    1","   24","   15","    8","    1","   23","    1","    8","    0","  257","   57","    0","  308","    3","    7","    0"," 5004","    0","  497","    0","  557","    0","   11","   12","    3","    0","   37","    4"," 5991","  339","    5","    0","    7","13747","  582","    7","   17"," 2111","    3","   30","   82","    4"," 1139","    7","   40","   15","    5","    0","    9","   47","    0","    4","    0","    1","    3","   83","   69","   18","   15","   42","   10","    5","    0","    0","    0","    3","    7","    4","   11","    6","   36"," 2855","   19","    0","    1","    2","    0","  164","    0"," 3272","  290","    6","    1","    0","   13","  185","    0","  130","   12","    0","   62","  124","   14","   64","   18","    3","   23","    0","   13","    3","    0","   11","    4","  337","    1"," 4761","   13","   23","   48"," 2372","    1","    2","    7"," 1295","  141","    4","    0","    1","    4","    0"," 2225","  238","   67","   26","    6","    0","    3","    2","    2","    0","   15","   14","    7"," 7453","    8","  134","    0","   45","    1","   14","   15","    8","    0","    1","    1"
"PAX2","  7","  0","  1","  1","  0","  0","  7","  1","  0","  1","  1","  5","  0","  2","  0","  0","  8","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  4","  6","  5","  2","  0","  2","  0","  1","  1","  0","  0","  1","  1","  1","  0","  1","  1","  1","  0","  1"," 65","  2","  0"," 66","  0","  1","  2","  2","  0","  0","  5","  0","  0","  1","  3"," 25","  0","  0","  0","  0","  0","  0","  0","  0","  0","401","  2","  0","  0","  0","  0","  9","  6","  0","  0","  0","  2","  0","  1","  8","  0","  1","  0","  1","  1","  1","  3","  1","  1","  0","  5","  1","  0","  4","  0","  0","  0","  1","  2","  1","  1","  0","  0","  1"," 10","  0","  1","  2","  0","  0","  1","  0","  0","  0","  2","  0","  0","  2","  3","  0","  3","  5","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  1","  4","  0","  0","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  0","  0","  5","  9","  1","  0","  1","  0","  0","  0","  1","  4","  0","  0","  0","  0","  1","  1","  0"," 69","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  1","  0","  0","  1","  0","  1","  1","  0","  1","  3","  0","  0","  1","  0","  0","  2","  0","  1","  0","  0","  0","  0"
"NOS1","    4","   38","  534","    3","    5","    1","   14","  242","   19","   10","   14","   17","    8","  330","    4","  297","  742","  501","    8"," 1223","   50","   75","  539","   14","    9","  504","   21","    6","20522","  205","   26","    5","  334","  189","   66","   18"," 1581","   26","   28","    9","   27","   27","    4","   12","    0","  148","   12","  101","    4","    0","   40","   21","    4","   35","   10","  190","   32","   40","   23","   39","   11","   17","   41","  324","  179","   44","   12","17986","    1","    7","    9","   28","    1","  325","   28","  309","   10","   23","    2","  138","   26","   11","    6","   29","   51","   16","   30","    7","   53","   66","    8","   10","    7","    5","  127"," 1980","    3"," 3805","   24","  145","   93","    5","   16","    3","    3","   55","   34","    2","   18","    3","   63","   12","    9","    7","   80","    5","    5","   12","  453","    9","   92","   70","   15","    1","   33","  451","   68","  274","   40","   19","    8","   59","  723","   12","   49","    4","    1","   21","    1","  259","  209","   35","    6","   15","  314","   27","   38","    5","    1","    5","    5","  111","   68","    2","    3","    4","    0","   21","    1","   36","   79","    8","    8","   98","  198","  123","   38","    8","  182","   43","   12","   24","    3","   12","   30","    0","    1","   80","    9","    3","   77","   48","   23","   12","   17","  125","    2","    2","   73","   34","  123","    7","   11","   50","   85","    1","  182","   35","   18","    2","   31","    2","  101","   78","   24","   95","  130","   16","    8","    0","   87","   29","   34","    7","    4","    3","    4"
"HRH3","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   1","   0","   1","2275","   0","   0","   1","   1","   1","  72","   0","   0"," 718","  36","   0","   1","   0","   1","   2","   1","   0","   0","   2","   0","   1","   0","   0","   2","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   1","   1","2479","   1","   0","   1","   1","   0","   0","   6","   0","   2","   0","   0"," 343","   0","   2","   1","   0","   0","   3","   0","   0","   0","   1","   0","   1","   0","  41","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   1","   2","   2","   0","   0","   0","   0","   0","   0","   1","   0","   1","   5","   1","   0","   0","   0","   0","   0","   1","   1","   0","   0","  98","   0","   0","   0","  10","   0","   3","   0","  32","   0","   1","   1","  65","   0","   0","   1","   2","   0","   0","   0","   2","   3","   1","   0","   1","   0","   0","   2","   1","   0","   0","   1","   0","   0","   0","   0","   6","   0","   0","   0","  16","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   1","   0","   2","   1","   0","   0","   0","   0","   1","   3","   0","   0","   0","   0","   1","   0","   0","   1","   2","   1","   0","   1","   1","   0","   0","   0","   1","   0","   1","   0","   0","   5","   0","   0"
"OLFM4","   53","    0","    6","  147","   18","    3","    7","    8","    4","    2","    2","    3","   30","    6","    2","    0","    4","    3","    1","    1","    2","    0","   19","    0","    3","    4","   81","    2","   16","    8","    1","    6","    8","    0","  221","    0","    6","    4","   96"," 2520","    4","    2","    0","    1","   85","    0","    1","    1","    5","    7","    0","    0","   81","   13","    5","   49","    2","    5","    8","  135","   13","    0","    2","  132","    9","    0","    1","   48","    0","  425","    4","    0","    0","    1","  212","   58","    1","    1","   64","    6","    3","   33","    0","    2","    3","    8","    1","    4","    7","    5","   36","    3","    4","    7","    4","   24","   13","   23","   61","    6","    1","    2","    2","   11"," 4343","    8","    5","    5","    1","11577","   21","    5"," 1044","  341","    1","    2","  259","    1","   14","    9","   14","    4","  326","    1","    0","    1","    3","  609","   90","   12","   15","    4"," 1114","    7","    0","    1","  136","    1","  173","19358","    0","   60","    1","  191","    6","    3","   45","   13","  112","    2","    0","    1","   17","  196","    2","    2","    7","    1","   37","   11"," 2167","    8","   31","   56","  203","    2","   58","   59","   31","    0","    1","    1","    1","    3","  149","    1","    2","    7","    3","   21","  265","    8","    0"," 5421","   16","    2","    0","    3","   36","   15","   29","    3"," 1842","   13","    1","   41","  666","    3","    4","    1","   60","    4","   33","   11","    3","    0","    6","    6","    0","    0","    2","   11","   25"," 3194","    0","    0","    7"
"DKK4","    2","    0","    1","    0","    0","    0","    5","    0","    5","    2","    0","    0","    0","    0","    0","    1","  405","    0","    0","   24","    3","    0","    4","    0","    3","    3","    0","    1","    0","    3","    0","    1","    2","    1","    6","    1","    1","    0","    0","    0","    0","    0","    0","    0","    0","    2","    5","    0","    0","    0","    0","    1","    2","    2","    0","    1","    0","    1","    0","    1","    1","    0","    1","    0","    1","    0","    4","    1","    1","    2","    1","    0","    1","    0","    2","    0","    0","    0","    1","   12","    4","   13","    1","    1","    1","    0","    2","    1","    0","    0","    2","    0","    0","    5","    5","    1","    0","    6","    0","    3","    7","    5","    3","    0","    3","    0","    0","    2","    1","   40","    1","    4","    7","    1","    1","    2","    7","    2","    0","48014","    1","    2","    2","    0","  188","    1","    1","    0","    0","    0","    0","    1","  270","    0","    0","    0","    0","    1","    3","    1","    0","    3","    0","    1","   10","    1","    0","    2","    0","    1","    0","    2","    0","    1","    0","    4","    1","    5","    0","    1","    3","    2","    0","    2","    0","    0","   22","    9","    0","    0","  170","    1","    0","    1","    2","    0","    0","    2","    0","    0","    0","    0","    6","   10","    1","    2","    2","    0","    0","    0","    1","    0","    1","    2","    3","    0","  372","    3","    0","    1","    0","    1","    0","    2","    0","    1","    4","    0","    1","    3","    5","    0","    2","    0","    0","    1","    0"
"RSPH6A","23"," 2"," 1"," 2"," 0"," 3"," 2"," 0"," 4"," 1"," 1"," 0"," 0"," 0"," 0"," 1","26"," 0"," 0"," 0"," 6"," 4"," 0"," 0"," 1"," 6"," 3"," 0"," 1"," 9"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 7"," 8"," 0"," 3"," 0"," 4"," 0"," 3"," 0"," 1"," 1"," 2"," 9"," 0"," 6"," 1","18"," 6"," 1"," 1"," 0","41"," 1"," 0","24"," 0"," 2"," 9"," 2"," 2"," 7"," 0"," 2"," 0"," 0"," 1"," 0"," 3"," 0"," 2"," 0","16","56"," 0"," 0"," 0"," 3"," 0"," 3"," 0"," 0"," 8"," 0"," 0"," 3","67"," 2"," 2"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 2"," 0"," 7"," 9"," 0"," 3"," 1"," 0"," 1"," 0"," 0"," 4"," 1"," 1"," 0"," 1","10"," 0"," 8"," 0"," 0"," 0"," 3"," 0"," 5"," 2"," 1"," 0"," 1"," 0"," 0"," 1"," 4"," 1"," 0"," 0"," 1"," 1"," 0"," 3"," 0"," 0"," 1"," 0","10"," 0"," 0"," 0"," 0"," 0"," 2"," 3"," 3"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"," 1"," 0"," 0"," 1"," 1"," 2"," 2"," 1"," 0"," 1"," 1"," 1"," 0"," 0"," 8"," 2"," 1"," 1"," 2"," 0"," 1"," 3"," 3"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 3"," 1"," 0"," 6"," 1"," 0"," 2"," 1"," 6"," 0"," 0"," 0"," 0"," 1"," 2"," 0"
"THEG"," 15"," 11","  2","208","  2","  0","  2","  8","  3","324","  0","  0","  1","  0","  1","  0","  0","  1","  0","  3"," 12","  0"," 17"," 11","  8"," 34","  6"," 21","  0"," 11","  1"," 17","  2","  3","  0"," 60"," 36"," 42","228","  7"," 46"," 85","116","101","  5"," 14","  0","  0"," 17","  0"," 17","  3","  6"," 40"," 10"," 42","  3","  1"," 30","  1","  3","216","  0","  0","309"," 17","  0","  0"," 20","  1","130","  3","  2","  0"," 19","  5","  0","  4","114"," 40","115","  0"," 29"," 11","  2","  2"," 30"," 94","  1","  1","128"," 10"," 15"," 18","  9","  1","  1","  0","  3","  2"," 44","  4"," 32"," 15","  1","  0","  1","  7","  7","  1","  2","  8","  0"," 73","  1","  0","  4","  0","  1","  1"," 61","  1","  3"," 11","  3","  4","  6","  2"," 83","  4","  1","  0","  6","  2","  0","  8","  0","  2","  8","  0","  5","  0","  0"," 74"," 38","  0","  0","  5","  0","  0","  1"," 20"," 15","  2","  0","  8","  0","  5"," 12","  1","  1","  3","  0"," 19","  0","  2","  0","  0","  0"," 18","  0"," 10","  4","  0","  1","  5","  2"," 31"," 11","  3"," 35"," 51","  0","  0","  4","  4"," 12","  5","  5","  4","108","  0","  5"," 78","  0","  0","  2"," 10","  1","  2","  0"," 36","  5","  3","  6","476","  1"," 22","  0","  3"," 15","  0","  1","  2","  1","  0","  0"
"ATP4A","   8","   0","   1","   0","   0","   0","   3","   3","   0","   0","   0","   5","   0","   0","   3","   0","   7","   1","   2","   5","   1","   6","  24","   1","   1","  24"," 748","   0","   0","   2","   0","   8","   1","   1","  26","   0","   1","   7","   2","   2","   3","   2","   1","   0","   5","   0","   1","   0","   0","   1","   1","   2","   8"," 156","   0","   1","   0","   3","   2","   2","   6","   2","   0","   0","   6","   8","   2","   3","  26","   0","   2","   2","   0","   1","   0","   4","   0","   1","   3","   6","   0","2372","  19","   2","   0","   0","   1","   0","   1","   3","   0","   1","  34","   0","   0","   1","   0","   1","   2","   0","   1","   0","   1","   2","   2","   0","   0","   1","   0","   6","   0","   1","   2","   4","   1","   1","   2","   0","   3","  24"," 249","   2","   1","   0","  13","   1","   7","   1","   4","   3","   1","   2","   2","   0","   0","   5","   1","   5","   1","   2","   0","   1","   0","   1","   4","   0","   1","   1","   0","   5","   1","   3","   4","   0","   0","   1","   0","   3","   0","   0","   2","   4","   4","   0","   1","   1","   0","   3","   0","   0","   1","   0","   1","   0","   0","   2","   0","   0","   5","   4","   7","   3","   3","   2","   2","   1","   3","   3","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   2","   0","   0","   0","   0","   0","   3","   4","   2","   0","   2","   4","   1","   0"
