"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logFC","group","genesymbol","adj.P.Val"
"TSPAN6",3346.3885396196,-0.126786689990852,0.0980914171527617,-1.29253602069386,0.196171579982107,0.55899182892816,-0.0878818366996871,"High vs Low","TSPAN6",0.55899182892816
"TNMD",1.88086781618371,-0.132352045454621,0.349958073564429,-0.378194005089169,0.705286478575883,0.896536365428286,-0.0917394471482125,"High vs Low","TNMD",0.896536365428286
"DPM1",1655.79718960162,-0.100508591068634,0.0817385008622794,-1.2296358510169,0.218833498565939,0.580345542256241,-0.0696672465212765,"High vs Low","DPM1",0.580345542256241
"SCYL3",966.199865314933,-0.0643240594146533,0.0610642406814999,-1.05338343188702,0.292165294493954,0.647878951734545,-0.0445860404254373,"High vs Low","SCYL3",0.647878951734545
"C1orf112",459.20446669976,0.0170075273223226,0.0956392533831266,0.177829988427358,0.858856495340121,0.955238870177456,0.0117887196117641,"High vs Low","C1orf112",0.955238870177456
"FGR",1206.00209381479,-0.0345598177579313,0.143636070857555,-0.240606816599741,0.809859866494186,0.93658282207518,-0.0239550402395756,"High vs Low","FGR",0.93658282207518
"CFH",5628.92786012734,0.0671028818495197,0.150949677820137,0.444538092552113,0.656653594657125,0.872445843451944,0.0465121733614416,"High vs Low","CFH",0.872445843451944
"FUCA2",3757.80410593866,-0.0939371206337239,0.0857616608957305,-1.09532767500775,0.273373107206999,0.634442488216677,-0.0651122503171853,"High vs Low","FUCA2",0.634442488216677
"GCLC",5648.86410286989,0.0208190376500513,0.231732978424375,0.0898406337829277,0.928413857641711,0.978314542606612,0.0144306572491044,"High vs Low","GCLC",0.978314542606612
"NFYA",2256.04754889119,-0.135058683137947,0.0777521984273558,-1.73704005635458,0.082380100755336,0.384888430720949,-0.0936155454272068,"High vs Low","NFYA",0.384888430720949
"STPG1",592.313540814034,0.0369460486760573,0.0816083860937072,0.452723677608743,0.65074772762338,0.86950136554481,0.0256090494726397,"High vs Low","STPG1",0.86950136554481
"NIPAL3",2425.36599401283,-0.0897825772043872,0.0915814456625708,-0.980357719348399,0.32690957254611,0.676270659391698,-0.0622325402526266,"High vs Low","NIPAL3",0.676270659391698
"LAS1L",2230.83875445743,0.0366804662506169,0.0610392742136735,0.600932214924667,0.547885135409779,0.817994130797429,0.0254249617632393,"High vs Low","LAS1L",0.817994130797429
"ENPP4",2258.98076923625,-0.190295978980485,0.100571608062387,-1.89214414134095,0.0584717784172248,0.338170486337119,-0.131903121302218,"High vs Low","ENPP4",0.338170486337119
"SEMA3F",2047.32184931041,0.457463751243773,0.133316832839307,3.43140278313673,0.000600468311112712,0.037764581326759,0.317089709382997,"High vs Low","SEMA3F",0.037764581326759
"CFTR",1133.14026044365,-0.159928596781823,0.245844361584731,-0.650527820735491,0.51535133708998,0.800275446974589,-0.110854055950229,"High vs Low","CFTR",0.800275446974589
"ANKIB1",3387.95094797568,-0.161974093034268,0.0787634873550625,-2.05646167372066,0.0397380368777155,0.286914321198696,-0.112271885910457,"High vs Low","ANKIB1",0.286914321198696
"CYP51A1",291.194877210008,-0.139803221825845,0.1136236260792,-1.23040626892506,0.218545006997055,0.579977114149496,-0.096904209041781,"High vs Low","CYP51A1",0.579977114149496
"KRIT1",1652.92290044968,-0.116096823231461,0.0662706480813165,-1.75185887859442,0.079798076943451,0.380768878598914,-0.0804721856948535,"High vs Low","KRIT1",0.380768878598914
"RAD52",412.386995726509,0.0442582327907519,0.0870933640344691,0.508169976913921,0.611334144006725,0.850860266883938,0.0306774692754753,"High vs Low","RAD52",0.850860266883938
"BAD",1860.31925284745,0.101715035714037,0.082805790505461,1.22835655686819,0.219313148534632,0.580683587587245,0.070503490225739,"High vs Low","BAD",0.580683587587245
"LAP3",6313.82435902419,-0.0831109226612703,0.0816587303613877,-1.01778367473332,0.308780771964498,0.662874958996325,-0.0576081017163953,"High vs Low","LAP3",0.662874958996325
