"","logFC","logCPM","PValue","FDR","group","genesymbol","adj.P.Val"
"NNAT",4.12366723616928,3.42334651082141,3.15264687006308e-29,5.94935990849605e-25,"High vs Low","NNAT",5.94935990849605e-25
"CYP17A1",3.84479168297589,1.96039380866244,9.64192532166169e-26,9.09763863725389e-22,"High vs Low","CYP17A1",9.09763863725389e-22
"ELAVL3",4.69859941415824,-0.281266401415691,2.28978045173497e-25,1.44034823015635e-21,"High vs Low","ELAVL3",1.44034823015635e-21
"SPINK4",-6.15051075989065,4.34141011233767,6.11378643925862e-25,2.88433159738123e-21,"High vs Low","SPINK4",2.88433159738123e-21
"A4GNT",-4.05495152988368,0.0729504953123813,2.42517406752918e-23,9.15309196566862e-20,"High vs Low","A4GNT",9.15309196566862e-20
"CYP2B6",-4.84480402611009,1.57743300873872,9.07093092783115e-23,2.85295895898503e-19,"High vs Low","CYP2B6",2.85295895898503e-19
"HMP19",4.78959605234794,1.93881074950223,4.41007618613068e-22,1.18889353869246e-18,"High vs Low","HMP19",1.18889353869246e-18
"HIST1H2BB",-5.64938840781343,-0.426962354130375,6.54825762000578e-22,1.54465211933911e-18,"High vs Low","HIST1H2BB",1.54465211933911e-18
"SEZ6",3.53326777309552,0.583398272667965,1.38926580263538e-21,2.91298166239248e-18,"High vs Low","SEZ6",2.91298166239248e-18
"HIST1H1B",-4.87047476952989,1.72483444681227,2.18175597671154e-21,4.11719170365234e-18,"High vs Low","HIST1H1B",4.11719170365234e-18
"CYP11B1",8.72436236165157,0.724629607592285,5.25456508842059e-21,9.01444525305318e-18,"High vs Low","CYP11B1",9.01444525305318e-18
"SCG2",3.60952981134863,5.34723839751894,9.18223367867012e-21,1.44398276458486e-17,"High vs Low","SCG2",1.44398276458486e-17
"SLC7A14",4.72257245718235,-0.581142751013882,1.0740795861445e-20,1.55915045154868e-17,"High vs Low","SLC7A14",1.55915045154868e-17
"HSD3B2",5.42816702945808,0.00266593289755452,1.74716786931537e-20,2.35505749013216e-17,"High vs Low","HSD3B2",2.35505749013216e-17
"HIST1H4C",-3.86454786942623,0.358184540825294,9.03867627821958e-20,1.13712573364188e-16,"High vs Low","HIST1H4C",1.13712573364188e-16
"DHRS2",3.46506986044221,3.75564345209647,1.23649383556371e-19,1.42775820065476e-16,"High vs Low","DHRS2",1.42775820065476e-16
"WNT16",-3.71329260631785,2.6804049165191,1.28620048811037e-19,1.42775820065476e-16,"High vs Low","WNT16",1.42775820065476e-16
"NPY",7.48405420041976,4.08623224027993,1.46880032226239e-19,1.53987393785631e-16,"High vs Low","NPY",1.53987393785631e-16
"STAR",3.34334785744085,1.27153642551849,2.17362031886439e-19,2.15886258090999e-16,"High vs Low","STAR",2.15886258090999e-16
"FABP7",4.86429194230591,3.28134690400434,4.33575708826214e-19,4.09100360062974e-16,"High vs Low","FABP7",4.09100360062974e-16
"PSG1",7.32188682880998,0.691422507896638,6.13813203273617e-19,5.37241345094442e-16,"High vs Low","PSG1",5.37241345094442e-16
"PSG5",7.59008617580815,2.06913512578624,6.26321318005284e-19,5.37241345094442e-16,"High vs Low","PSG5",5.37241345094442e-16
"GLRA4",-4.58148951348359,-1.57794555821847,2.01570682304236e-18,1.65384362859272e-15,"High vs Low","GLRA4",1.65384362859272e-15
"CYP11A1",2.5783544707571,1.82201444487371,2.596771496066e-18,2.04181978759423e-15,"High vs Low","CYP11A1",2.04181978759423e-15
"NTSR1",3.49648497244495,0.915521611743583,3.29355320154794e-18,2.48610569865645e-15,"High vs Low","NTSR1",2.48610569865645e-15
"FGF3",-5.79355107055648,-1.33567252817669,3.68998947914621e-18,2.67822274849877e-15,"High vs Low","FGF3",2.67822274849877e-15
"CDH22",3.78578445648603,0.450407493508478,7.64839207314316e-18,5.3456595115661e-15,"High vs Low","CDH22",5.3456595115661e-15
"NEUROD4",7.78073029964605,-0.630764450597353,8.31242503055254e-18,5.60227759826989e-15,"High vs Low","NEUROD4",5.60227759826989e-15
"HIST1H4D",-3.97488905840627,0.549538006385717,1.39860535125311e-17,9.10106261499911e-15,"High vs Low","HIST1H4D",9.10106261499911e-15
"CERS3",-4.11022670188922,0.130147829866508,1.85275422946479e-17,1.16544416880767e-14,"High vs Low","CERS3",1.16544416880767e-14
"HIST1H4F",-6.86147329413549,-0.515098250780196,2.05833355523815e-17,1.25299395228707e-14,"High vs Low","HIST1H4F",1.25299395228707e-14
"MSTN",-2.76942439228748,-0.0767524466429164,2.27930062304015e-17,1.34414631429346e-14,"High vs Low","MSTN",1.34414631429346e-14
"HIST1H2BI",-4.9626316073907,-0.412028525108944,2.65790357619976e-17,1.5199181329232e-14,"High vs Low","HIST1H2BI",1.5199181329232e-14
"LIPF",-5.91258509268146,-0.0570863302245831,5.14104994451896e-17,2.85343392655933e-14,"High vs Low","LIPF",2.85343392655933e-14
"ACTL6B",3.85499445320276,-1.23132854964518,6.38137304469885e-17,3.44065402075749e-14,"High vs Low","ACTL6B",3.44065402075749e-14
"KRT13",-3.71330122314082,4.28888333007497,1.17324442303052e-16,6.15008208528028e-14,"High vs Low","KRT13",6.15008208528028e-14
"ADAD2",2.70232462531413,-0.947748475780298,1.25232279510533e-16,6.38718472065749e-14,"High vs Low","ADAD2",6.38718472065749e-14
"HIST1H2AJ",-3.91777920301937,-0.792652891624481,2.32664888908017e-16,1.15542608383768e-13,"High vs Low","HIST1H2AJ",1.15542608383768e-13
"PSG11",7.89878284749542,-0.339119805095208,3.0308073607754e-16,1.46652219756904e-13,"High vs Low","PSG11",1.46652219756904e-13
"DKK4",-5.44640039074197,2.26602495394398,3.99487702046993e-16,1.8846831063322e-13,"High vs Low","DKK4",1.8846831063322e-13
"HDGFL1",5.28306320848888,-2.47977181901882,4.09718486109186e-16,1.88580428082108e-13,"High vs Low","HDGFL1",1.88580428082108e-13
"APOA1",-2.77219947355844,0.337568499275979,4.73672629167954e-16,2.12713414571776e-13,"High vs Low","APOA1",2.12713414571776e-13
"PSG2",6.18205138744005,-1.92623286426648,4.8469486654583e-16,2.12713414571776e-13,"High vs Low","PSG2",2.12713414571776e-13
"SLC7A3",3.70448296159454,-0.244797289495501,6.12348730132702e-16,2.62628020143959e-13,"High vs Low","SLC7A3",2.62628020143959e-13
"XKR7",3.76400160759782,0.258841413364049,6.78402143730753e-16,2.8449170787429e-13,"High vs Low","XKR7",2.8449170787429e-13
"HIST1H3C",-3.6729672882351,-0.131640298355988,8.5676861857976e-16,3.51480013069971e-13,"High vs Low","HIST1H3C",3.51480013069971e-13
"CPA1",3.47129548792251,-1.39201986777414,8.79997035132798e-16,3.53328171276405e-13,"High vs Low","CPA1",3.53328171276405e-13
"COLEC10",2.51292905126217,-0.049112992294602,1.11240462375771e-15,4.3733724281108e-13,"High vs Low","COLEC10",4.3733724281108e-13
"TMPRSS11A",-3.3986636780076,-1.26106125506239,1.45532579965834e-15,5.60478636027601e-13,"High vs Low","TMPRSS11A",5.60478636027601e-13
"TUBA3E",3.31787305731751,-1.77409301817505,1.51835916755993e-15,5.73059117020468e-13,"High vs Low","TUBA3E",5.73059117020468e-13
"CHRNB2",2.65595767126752,0.996412127840833,1.56378742638633e-15,5.78632010261498e-13,"High vs Low","CHRNB2",5.78632010261498e-13
"KPRP",-5.7086312713588,-2.40943789624526,2.05562042562513e-15,7.45992558691765e-13,"High vs Low","KPRP",7.45992558691765e-13
"HIST1H4B",-3.64537973844652,-0.606827668424887,2.94404962881791e-15,1.04824831217779e-12,"High vs Low","HIST1H4B",1.04824831217779e-12
"SYT4",4.49519770018093,2.03294350281141,3.44617353886712e-15,1.20431001577706e-12,"High vs Low","SYT4",1.20431001577706e-12
"MAEL",3.38531146424264,2.31124225082376,7.93708278587764e-15,2.72328525913267e-12,"High vs Low","MAEL",2.72328525913267e-12
"HIST1H4A",-3.85340063860026,-1.41894853926607,9.05143397242497e-15,3.05017161595771e-12,"High vs Low","HIST1H4A",3.05017161595771e-12
"SLC12A3",2.21050735056609,0.497943274210453,1.0148726039867e-14,3.35994051049703e-12,"High vs Low","SLC12A3",3.35994051049703e-12
"CRP",-3.45554799312923,-1.35647726009206,1.13811323778308e-14,3.69396089858919e-12,"High vs Low","CRP",3.69396089858919e-12
"HIST1H1D",-3.25800869424926,1.16790618573102,1.15491332211734e-14,3.69396089858919e-12,"High vs Low","HIST1H1D",3.69396089858919e-12
"TEX13B",-4.34397689196885,-2.63810159052868,1.40019099399965e-14,4.40383404129457e-12,"High vs Low","TEX13B",4.40383404129457e-12
"KRT77",-4.59068751797464,-2.84808292291525,1.55396485624311e-14,4.80735586920718e-12,"High vs Low","KRT77",4.80735586920718e-12
"EPGN",2.94900259440721,-0.292788929016343,1.58677982432737e-14,4.82969710723899e-12,"High vs Low","EPGN",4.82969710723899e-12
"LGALS13",6.19255420693045,-2.67798986900065,1.62871340127381e-14,4.87864295165684e-12,"High vs Low","LGALS13",4.87864295165684e-12
"RTP1",-4.32948296408149,-1.12681349538395,1.66982542526611e-14,4.92363681253073e-12,"High vs Low","RTP1",4.92363681253073e-12
"KCNC1",2.41831483547088,-1.83790321843217,1.70984302964294e-14,4.96406889421415e-12,"High vs Low","KCNC1",4.96406889421415e-12
"GRIA2",3.14783709945815,-0.261920724077443,1.75068907690915e-14,5.00564448035644e-12,"High vs Low","GRIA2",5.00564448035644e-12
"INSRR",2.29260361948296,-1.06353702104897,2.6322888522001e-14,7.41401834774151e-12,"High vs Low","INSRR",7.41401834774151e-12
"HIST1H1E",-2.64091693686767,1.28008417511513,3.14278513148189e-14,8.72169091414628e-12,"High vs Low","HIST1H1E",8.72169091414628e-12
"HIST1H3B",-3.39935915646145,0.305868102812292,3.80780759509473e-14,1.04140778444975e-11,"High vs Low","HIST1H3B",1.04140778444975e-11
"TAC3",3.50417691627941,0.210744822391117,4.6541609109536e-14,1.25469529358008e-11,"High vs Low","TAC3",1.25469529358008e-11
"CYP4F8",4.10929442048854,-1.76471715735568,5.8357667118125e-14,1.55108103688188e-11,"High vs Low","CYP4F8",1.55108103688188e-11
"RELN",-2.14157503882265,3.16130495879812,6.79998514133382e-14,1.78225721669598e-11,"High vs Low","RELN",1.78225721669598e-11
"KRT76",-4.82805745132832,-2.54590195613218,7.52667030187461e-14,1.9456958255709e-11,"High vs Low","KRT76",1.9456958255709e-11
