"","logFC","AveExpr","t","P.Value","adj.P.Val","B","group","genesymbol"
"DMPK",1.78105735618094,5.55475571255547,4.2800235602316,2.81044556031682e-05,0.382147480070411,1.13560631047519,"High vs Low","DMPK"
"CLASRP",2.21148704823591,7.95607386877871,3.96378377916436,0.000100305179462704,0.382147480070411,0.266233071665638,"High vs Low","CLASRP"
"CCNDBP1",-1.31603066843867,7.40215589389336,-3.95481435572413,0.000103877575965764,0.382147480070411,0.242372346023998,"High vs Low","CCNDBP1"
"CAAP1",-1.46214830716686,6.997136220034,-3.89701520811795,0.000129965245440212,0.382147480070411,0.0896877454312586,"High vs Low","CAAP1"
"PNKP",1.91348671979674,8.78642240016467,3.8609383276378,0.000149281227806876,0.382147480070411,-0.00466692335782248,"High vs Low","PNKP"
"SYCE1L",0.851475348942001,1.74651093244905,3.80466243360347,0.000184933813169283,0.382147480070411,-0.150385340127099,"High vs Low","SYCE1L"
"STXBP4",-0.17952225872196,0.781671081063774,-3.77912685068317,0.000203645122932776,0.382147480070411,-0.215914271907214,"High vs Low","STXBP4"
"E2F4",3.23148917333889,20.2846407702908,3.76557337090167,0.000214290330954927,0.382147480070411,-0.250544211479911,"High vs Low","E2F4"
"SEC62",-6.04543344799939,24.349726677723,-3.75339444853076,0.000224302794536818,0.382147480070411,-0.281572695653064,"High vs Low","SEC62"
"TMEM9B",-3.43445956846846,22.4472825866524,-3.7342033948412,0.00024098213883676,0.382147480070411,-0.330294078563869,"High vs Low","TMEM9B"
"ZNF598",2.08186416737058,10.045788402542,3.71832249649946,0.000255663683297319,0.382147480070411,-0.370452273533144,"High vs Low","ZNF598"
"CHTF18",1.24840288931921,3.57045650495883,3.65659133012794,0.000321147257815311,0.440025267749946,-0.525174409350607,"High vs Low","CHTF18"
"KDM6B",1.7092231353292,8.71963716478313,3.58320598857726,0.000419535072642561,0.521195819241384,-0.70623512258327,"High vs Low","KDM6B"
"OMA1",-0.937067216097618,4.84935999899945,-3.55738635750581,0.00046043800748785,0.521195819241384,-0.769191903959812,"High vs Low","OMA1"
"TMEM62",-2.06082468262571,10.2840431308091,-3.54842736469184,0.000475485785708597,0.521195819241384,-0.790945597227899,"High vs Low","TMEM62"
"FBXO3",-0.478968586761714,3.15423942675912,-3.45746444957085,0.000656745846487078,0.547038745861823,-1.00913906905578,"High vs Low","FBXO3"
"SOAT1",-2.83367601660352,15.0116984018487,-3.40410308238721,0.000791342084037132,0.547038745861823,-1.1348542867823,"High vs Low","SOAT1"
"SYPL1",-7.35227722512456,44.8613415234189,-3.39155888137924,0.000826525914203853,0.547038745861823,-1.16416075679529,"High vs Low","SYPL1"
"TOPORS",-0.918923453340706,5.94498224101926,-3.36003339264609,0.000921503833277134,0.547038745861823,-1.23739616979623,"High vs Low","TOPORS"
"MYL5",0.689948834713788,2.34612990624515,3.35036287016428,0.000952620480850665,0.547038745861823,-1.25974170686025,"High vs Low","MYL5"
