"","TCGA-97-7937","TCGA-62-A472","TCGA-49-6743","TCGA-86-8279","TCGA-55-8208","TCGA-50-6593","TCGA-95-A4VN","TCGA-55-8614","TCGA-86-8668","TCGA-NJ-A4YQ","TCGA-44-2661","TCGA-97-7553","TCGA-50-5068","TCGA-55-5899","TCGA-L9-A7SV","TCGA-93-A4JP","TCGA-NJ-A55R","TCGA-97-A4M7","TCGA-49-4514","TCGA-93-7347","TCGA-95-A4VK","TCGA-44-7667","TCGA-MP-A4TI","TCGA-55-6979","TCGA-44-6778","TCGA-86-8673","TCGA-44-A4SS","TCGA-86-8358","TCGA-38-6178","TCGA-49-4506","TCGA-97-8172","TCGA-O1-A52J","TCGA-49-AAQV","TCGA-53-7626","TCGA-97-A4M2","TCGA-50-5931","TCGA-L9-A743","TCGA-50-8457","TCGA-MP-A4T9","TCGA-97-8175","TCGA-99-8025","TCGA-55-8615","TCGA-86-8075","TCGA-49-6745","TCGA-49-AARQ","TCGA-83-5908","TCGA-64-1680","TCGA-44-3396","TCGA-53-7624","TCGA-86-7713","TCGA-55-8508","TCGA-49-AARE","TCGA-49-AAR0","TCGA-55-6980","TCGA-MP-A4SY","TCGA-49-6744","TCGA-86-8671","TCGA-49-4510","TCGA-97-8177","TCGA-50-7109","TCGA-78-8660","TCGA-97-7547","TCGA-86-8674","TCGA-49-6742","TCGA-50-5946","TCGA-86-8054","TCGA-MP-A4TD","TCGA-55-6971","TCGA-95-7944","TCGA-NJ-A4YF","TCGA-91-A4BD","TCGA-99-8028","TCGA-97-8171","TCGA-55-6642","TCGA-86-A4P8","TCGA-49-AARO","TCGA-J2-8192","TCGA-62-A46O","TCGA-86-A4JF","TCGA-L9-A8F4","TCGA-55-8507","TCGA-95-7948","TCGA-MN-A4N1","TCGA-55-8091","TCGA-49-4505","TCGA-50-5942","TCGA-J2-8194","TCGA-95-7567","TCGA-MP-A4TH","TCGA-L9-A5IP","TCGA-97-7554","TCGA-55-8619","TCGA-49-AAR3","TCGA-4B-A93V","TCGA-38-4626","TCGA-62-A471","TCGA-86-A456","TCGA-50-5045","TCGA-MP-A4TF","TCGA-93-A4JN","TCGA-44-6774","TCGA-50-5066","TCGA-49-AAR2","TCGA-86-8669","TCGA-86-8076","TCGA-55-8203","TCGA-MP-A5C7","TCGA-MN-A4N4","TCGA-44-7660","TCGA-97-A4M6","TCGA-64-1676","TCGA-97-A4M5","TCGA-55-7728","TCGA-55-8090","TCGA-55-8514","TCGA-62-A470","TCGA-97-8552","TCGA-55-8092","TCGA-55-6983","TCGA-44-7659","TCGA-55-7724","TCGA-55-7570","TCGA-55-A4DF","TCGA-55-7573","TCGA-MP-A4TA","TCGA-55-7907","TCGA-55-7574","TCGA-86-8073","TCGA-64-1678","TCGA-44-5643","TCGA-44-2657","TCGA-86-7953","TCGA-62-A46S","TCGA-55-8204","TCGA-50-5055","TCGA-44-6776","TCGA-55-8085","TCGA-64-1679","TCGA-55-8505","TCGA-55-8621","TCGA-44-3398","TCGA-05-4417","TCGA-55-8096","TCGA-99-7458","TCGA-55-6986","TCGA-44-7672","TCGA-55-8087","TCGA-97-A4LX","TCGA-44-6145","TCGA-86-7711","TCGA-86-7955","TCGA-86-A4P7","TCGA-64-5774","TCGA-97-A4M1","TCGA-97-8179","TCGA-L9-A50W","TCGA-50-5044","TCGA-55-7903","TCGA-55-A4DG","TCGA-55-7726","TCGA-05-4430","TCGA-55-8513","TCGA-05-4420","TCGA-62-A46P","TCGA-62-A46V","TCGA-55-6987","TCGA-55-7281","TCGA-44-2655","TCGA-L4-A4E6","TCGA-05-4427","TCGA-55-8301","TCGA-55-8510","TCGA-55-8302","TCGA-05-4405","TCGA-55-A48Z","TCGA-05-5428","TCGA-55-8097","TCGA-55-7994","TCGA-86-7701","TCGA-44-7670","TCGA-05-4249","TCGA-55-A492","TCGA-S2-AA1A","TCGA-44-6148","TCGA-55-8206","TCGA-55-8094","TCGA-05-4382","TCGA-97-A4M0","TCGA-44-7661","TCGA-55-8205","TCGA-55-7283","TCGA-55-A48Y","TCGA-55-7995","TCGA-44-3919","TCGA-95-7947","TCGA-55-7725","TCGA-55-7227","TCGA-44-A479","TCGA-55-6970","TCGA-55-6543","TCGA-55-1596","TCGA-55-6982","TCGA-05-4398","TCGA-44-A47A","TCGA-55-A57B","TCGA-55-8207","TCGA-55-7576","TCGA-55-A494","TCGA-NJ-A4YG","TCGA-44-7671","TCGA-50-6594","TCGA-55-A491","TCGA-95-8039","TCGA-44-2659","TCGA-44-3917","TCGA-64-5778","TCGA-55-7815"
"SLC5A1","   48","   16","   24","    2"," 1089","   84","   73","   51","   25","   18","  167","  264","  321","   46","   75","  775","  111","  859","   96","  155","    7","    2","    5","  129","   56","  327","    5","   52","  288","    4","   94","   10"," 2121","  664","   97","  407","  251","   28"," 1067","   99","  131","   51","  408","  109"," 1086","   40","  200","    9","   20","   14","  106","  350","   76","    7","   96","  176","  169","   24","  592","    1","   12","14454","   98","   90","  245","   35","   26","   37","    2","    1","  197","  125","   45","  168","  441","  227"," 1188","    1","  572","   14","   45","   27","   39"," 3852","  141","  120","  116","   49","   17","   44","  340","  883","   39","    8","  479","   22","   21","   57","    2","   64","  791","    2","   16","   30","  286","  394","    9","    7"," 1005"," 1459","    0","  214","  681","  323","   66","   20","  258","    2"," 1438","  184","  864"," 3484","  561","  153","   48","   43","   41","   50"," 2113","  510","  104"," 5720","   50","  518","  165","    6","    4","  135","  543","  447","  959","  155","12172"," 1724","  149","  135","  938","  277","    9","  441","    5"," 3146","    6","  114","   25"," 1386","   17","  102","   68","  101","  361","  395","  211","   20","  687","   43","  314","   80","  168","    1","   45","   33","  284","  457"," 2397","    2","   90","    5"," 2493","  679"," 3375","    0"," 2090"," 1019","   24","    0","    0","  133","  250","   14","  815","    1"," 1481","  225"," 6863","  932","   11"," 2270","   34","  814","  536","   45","   78","  467","  254","   34","    6"," 3389"," 1047","  132"," 1118","12297","  404"," 2369","   31","   52","  172"
"CHGA","    0","    4","    2","    7","   38","   22","    8","   26","    4","    5","    4","   12","    0","21592","    1","    8","50205","   19","    2","    3","    0","   79","    1","    1"," 1286","    3","    3","45655","    3","    2","    1","    4","   17","    3","   65","    6","   44","    7","   20","    1","   58","    6","    8","    2","    2","    4","    1","    4","  369","   49","    3","   34"," 5409","    9","   15","    5","    3","    2","   73","    8","    5","    3","   13","  111","    5","   17","    8","    2","    4","    1","   10","    8","    1","    1","   34","   24","    4","  638","   17","   20","   20","    7","    0","   60","   10","    8","   38","    1","    3","    8","   10","   19","    2","    1","   39","   85","    2","   27","    2","    2","    8","    1","   12","  136","   33","    3","    0","   10"," 1271","    5","    2","    5","    9","    4","    2","    6","   44","    3","   15","   11","    3"," 1870","    9","   18","    4","    1","   12","   18","    0","    1","    0","    2","    5","   20","    3","    8","    3","    2","   45","   69","    6","    1","    1"," 2171","    0","  123","    1","    4","    4","    4","    3","    7","    0","   36","    3","    1","    0","    1","    0","    1","   28","   28","    4","    0","    3","   11","    4","    1","   13","    3","    0","   86","    7","   54","    1","    4","   10","    3","    1","  103","    4","   44","    1"," 3474","    2"," 1144","    9","    3","    9","    2","    2","    0","  250","    1","    8","    4","    3","    1","    7","    3","   15","   10","    1","    0","    3","    8","    2","    8","    2","   57","    0","    1","   17","    1","   19","    5","    0"
"HRH3","   0","   2","   0","   0","   0","   0","   0","   1","   0","   0","   2","   1","   0","  32","   1","   1","2275","   0","   0","   1","   1","  72","   0","   0"," 718","   0","   2","  36","   0","   1","   0","   1","   2","   1","   0","   0","   2","   0","   1","   0","   1","   6","   0","   0","   0","   0","   0","   0","   0","   1","  16","   1","2479","   1","   0","   1","   1","   0","   0","   6","   0","   2","   1","   0","   0"," 343","   0","   0","   2","   1","   0","   0","   3","   0","   0","   0","   1","   0","   1","   0","  41","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   2","   0","   0","   1","   0","   1","   0","   0","   1","   5","   1","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","  98","   0","   0","   0","  10","   0","   3","   0","   0","   1","  65","   1","   0","   0","   1","   2","   0","   0","   3","   1","   0","   1","   0","   0","   2","   1","   0","   0","   2","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   1","   0","   2","   1","   0","   1","   0","   0","   0","   1","   3","   0","   0","   0","   1","   0","   2","   0","   0","   0","   2","   0","   1","   0","   1","   1","   0","   0","   0","   1","   0","   0","   5","   0","   0"
"SCG3","    1","    6","   43","    2","   47","   14","    5","    0","    3","    8","   22","   30","    6","12019","   18","   22"," 9280","   10","    8","    3","    6"," 1169","    5","    7"," 2388","    3","    7"," 7540","    1","    9","   17","    6","  491","    9","   47","   48","   61","    6","   24","    8","   36"," 2036","   22","   16","    0","    7","    3","    8","  123","  470","   47","   14"," 2168","   26","    7","   17","   13","   17","   24","  282","    7","    6","    3","    5","    1"," 1745","    7","   10","   10","    0","    4","   21","    3","    4","   19","   17","    6","  275","    5","   21","  117","   10","   10","    8","   27","    6","   18","    5","   14","    7","    5","    7","    9","    8","   50","    8","   11","   16","    3","    4","   12","    6","   10","   46","   35","    6","    3","   23","   77","   13","    1","   30","    2","   12","    2","   18","   25","    5","   70","    9","    4"," 3115","   58","   23","    7","    7","    7","    9","    8","    9","   12","   10","  151","   36","   16","    3","   16","   34","   15","   25","   23","   11","   99","  233","   11","   11","    3","   13","    2","  143","   28","   12","   84","   10","   12","    1","    4","    5","    7","    0","   16","    9","  397","    0","    2","   29","    5","   25","   15","    2","   13","    8","    7","    7","   48","    0","    6","   32","    6","  312","    7","   15","    4","  118","   14"," 4163","   49","   10","   22","   47","    0","    2","   49","   10","   11","    4","    3","   43","   36","    2","   11","    7","   14","    2","   15","    5","    6","   24","    5","   15","   19","  333","   10","    7","   63","   32","    1"
"DKK4","    1","    0","    0","    5","    5","    1","    2","    1","    0","    0","    0","    0","    0","  188","    1","    0","  405","    0","    0","    3","    0","    4","    0","    3","    3","    0","    0","    0","    1","    0","    3","    0","    1","    2","    1","    6","    1","    1","    0","    0","    2","    0","    1","    0","    0","    5","    1","    0","    0","    1","    1","    2","    2","    0","    1","    0","    1","    0","    1","    1","    0","    1","    9","    0","    1","    0","    4","    2","    1","    1","    2","    0","    0","    1","    0","    2","    0","    0","    0","    1","   12","    4","    1","    1","    1","    1","    0","    1","    0","    0","    2","  372","    0","    5","    5","    6","    0","    0","    3","    3","    0","    0","    3","    0","    0","    0","    0","    2","    2","    0","    0","    0","   40","    1","    4","    7","    1","    2","    7","    2","    0","48014","    1","    2","    2","    0","    1","    1","    0","   24","    0","    0","    1","  270","    0","    0","    1","    3","    1","    0","    3","    0","    1","   10","    1","    0","    0","    0","    0","    0","    0","    2","    0","    2","    0","    0","    0","    4","    5","    0","    1","    3","    2","    0","    2","    0","    0","   22","    0","    0","  170","    1","    0","    1","    0","    0","    2","    1","    0","    0","    0","    6","   10","   13","    2","    2","    0","    2","    0","    0","    1","    0","    1","    2","    0","    3","    3","    0","    1","    0","    0","    1","    1","    7","    0","    2","    0","    1","    5","    4","    1","    3","    5","    2","    0","    1","    0"
"ACTL8","    0","    0","   27","    0","    9","    1","    1","    0","    0","  633","    0","    0","    0","    7","    1","    0","  160","    0","   33","    0","    0","   16","    1","    3","    9","   12","    0","    0","    0","18307","    0","    0","   19","    0","  198","    7","    1","    0","    0","    0","    0","    0","    3","    3","    2","    0","    0","    0","    2","    1","    0","  147","    0","    0","    2","   29","    0","    1","    5","    0","   12","    0","    5","   20","    2","    0","    0","    1","    3","    0","    0","   67","    8","    0","    0","  329","    0","    0","   13","    5","    0","    4","   73","    0","    2","    0","    2","   18","    0","  111","    0","    0","    0","    3","    1","    1","    1","    3","    1","    2","    0","    8","  103","    0","    6","    0","    1"," 1273","   11","   76","    2","    4","    0","    0","    0","   25","    0","    6","    0","    0","    1","    5","    0","    0","   19","    1","    4","   12","    9","    1","    0","   46","    1","    1","    0","    0","    3","    2","    0","    0","    7","  539","    1","    0","    2","    1","    0","   20","    2","    0","    2","    1","    0","    0","    0","    1","    1","    1","    0","    0","    0","    0","    2","    0","    0","   48","    0","    1","    0","    0","   27","    2","    1","    0","    0","    2","    0","    0","    0","    3","    0","    1","    0","    0","    0","    7","    2","    1","    1","    1","    2","    3","    5","    0","    0","    0","    0","    0","    8","    0","   17","    5","   25","    1","    1","    1","    1","    0","    4","   46","    0","    4","    1","    3","    0","    0","    0"
"OLFM3","  0","  0","  0"," 13","  0","  1","  0","  0","  0","  0","  0","  0","  3"," 20","  4","  3"," 13","  0","  0","  0","  0"," 26","  0","  5"," 78","  0","  0","508","  0","  0","  1"," 53"," 22","  2","  1","  1","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0"," 82"," 16","  4","  1","  3","  0","  0","  0","  0","  0","  1","  4","  0","  0","  0","  2","  1","  9","  0","  2","  0","  0","  0","  0","  0","  0","  1","  0"," 10","  1","  0","  0","  2","  5","  1","  0","  7","  0","  1","  0","  0","  0","  0","  0","  0","  3","  0","  0","  1","  0","  0","  0","  2","  2","  2","  2","  2","  0","  1","  5","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0"," 32","  1","  0","  1","  4","  1","  1","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  3","  0","  3","  4","  0"," 10"," 11","  0","  2","  0","  0","  0"," 14","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  2","  1","  0","  0","  1","  0","  0","  0","  0","  0","  2","  0","  0","  1","  0","  0","  0","  1","  0","  1","  0","  0","  5"," 23","  0","  0"," 16","  0","  1","  0","  0","  0","270","  0","  1","  0","  0","  1","  4","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  0","  0","  1"," 20","  0","  0"
"PRLHR","  0","  0","  1","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 80","  0","  1","949","  4","  0","  0","  0","  0","  0","  0","106","  0","  1","130","  0","  0","  1","  0"," 11","  2","  1","  1","  0","  1","  0","  0","  0","  1","  5","  0","  2","  0","  0","  0","  0","  0","  0","  0"," 23","  0","  0","  0"," 19","  0","  1","  0","  1","  2","  0","  1","  1","112","  2","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  1","  1","  2","  0","  0","  0","  0","  1","  0","  0","  0","  0","  1","  0","  1","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  1","  0","  0","  0","  1","  0","  1","  0","  1","  1","  0","  0","  1","  0","  0","  1","  0","  0","  0","  6","  1","  3","  1","  0","  0","  1","  2","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  2","  0","  4","  0","  1","  1","  0","  1","  0","  1","  0","  7","  0","  0","  0","  1","  0","  0","  0","  0","  0","  1","  0","  0","  3","  2","  0","  0","  0"," 30","  0","  1","  2"," 12","  0","  1","  1","  0"," 12","  0","  1","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  2","  2","  0","  0"," 70","  0","  2","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  1","  0","  0","  0"
"SPINK4","     9","     0","     6","    51","    13","     3","     1","     1","     0","     1","     2","     0","     1","     2","     2","     0","   102","     0","    17","     2","   229","   150","     5","     1","     0","     3","     3","     0","     0","     7","     8","     3","     6","     2","    49","     1","     4","     0","     0","     4","    63","    11","     6","     1","     5","     1","     9","     2","    27","   625","    58","     4","    10","     3","     2","     6","     1","    54","    23","    88","     7","     0","     9","     1","     4","    22","    69","    16","     8","    39","     1","     1","    11","     2","     0","     4","    21","     2","     1","    22","     4","     2","     1","     0","     2","     2","   124","    24","     3","    71","     1","    19","    79","    35","     0","     7","    13","     7","     0","     2","     1","     6","   153","     5","   173","   190","   211","     4","     0","     3","     1","    64","    77","     1","     2","    39","     1","    10","   487","     0","     0","     2","     1","     1","     1","     1","     5","     8","    32","     0","     0","     4","  3562","     2","     0","    12","    60","     0","     8","     9","     4","     5","    47","     1","     0","     1","     5","     1","   129","     4","     1","     1","     5","     2","    77","    10","     2","     2","     2","     0","     5","    68","  1253","    59","    21","    17","    10","   205","    25","     2","     4","     2","    10","     0","     0","    47","    42","     0","    51","     5","     1","   671","     1","     6","     2","154293","     7","     0","     0","    24","     2","    27","     1","     0","     3","     0","     1","     1","    17","     0","    11","     0","     0","    10","     1","     1","     4","     1","     4","   236","     0","     0","     3","     1","     3","     1","     0"
"PCK1","    0","    9","    0","    0","    0","    0","    0","   38","    0","    0","    3","    0","    2","  186","    4","    1","  562","    0","    0","    1","   26","    0","    0","    0","    8","    0","    0","   72","    7","  281","    4","    3","    2","    3","    3","  101","    2","    3","    0","    0","    0","  159","    9","    2","    1","   84","    1","    0","    0"," 2020","   68","    4","    4","    0","    2","    2","   10","   47","    6","   47","    1","    0","    1"," 1425","    3","  405","    0","    4","   54","   38","    0","    6","    0","  180","    0","    0","    8","   72","    2","    0","    7","    2","    0","    1","    4","    5","   10","    1","    3","    3","    0","   13","    0","24426","   15","   90","    2","   27","   52","   12","    0","    1","   13"," 1054","    5","    2","  705","    0","    2","    0","    1","    9","    1","    0","    0","    2","    3","    1","    8","    0","    1","  237","    2","    2","   11","    1","    9","    3","  256","   15","    2","   33"," 3392","    6","    3","    1"," 1063","    2","   16","    2","    1","   52","    2","   30","   11","    1","    0","    0","    2","    0","    2","    6"," 3024","    0","    0","   47","    1","    0","    9","    0","    1","    6","    8","    6","    1","  291","   14","    3","    4","    0","    0","  103","    0","    2","    0","    0","    1","    1","  180","    3","    0","    0","    0","   28","   11","    2","    0","    1","    0","    3","    0","    1","    3","    0","    3","    0","    1","    1"," 2089","    2","    2","    0","    2","    0","    2","    3","    0","    0","    2","    3","    0","    0","    0","   13","    1","    1","    0"
"DDC","    5","   36","    6","   63","   52","   35","   40","   38","   23","    4","   50","  167","   15","23045","   56","   43","27970","   46","  922","   37","   33"," 2980","    1","    3"," 3933","   20","   82"," 8845","   14","  644","   69"," 1382"," 3678","   25","  251","    2","   44","  103","   29","    1","   18"," 6863","   20","   29","   15","   17","    9","    1","    6","   71","    3","   18"," 8876","   17","   32","   29","   43","  266","  171","  497","  319","    1","   72","  941","   14","   53"," 1075","    5","   11","   18","   18","   11"," 8667","   15","   73","    6","    5","   89"," 7324","   35","  594","    6","   19","    7","   10","   81","   26","    4","   75","  383","    9","   83","    6","  273","  289","  264","   20","   24","   12","   17","   51","   20","  924"," 4815","   56","  336","11363","   14","   72","   15","    0","   34","  119","   11","   12","  762","  140","   10","  117","  146","   17","   78","   36","   51"," 1356","    1","   26","   19","  227","   35","   23","   30","   41","    7","    9","   24","  926","   18","  276","   73","   35","  109","  414","  314","   17","   52","  102","   77","   42","    2","    7","   44"," 5489","  128","  593","  340","    4","    7","   20","    0","   70","   35","   67","  103","  136","   87","    1","  121","  120","    6","  325","   59","   13","   35","    9","    2","   29","  229","  150","  228","   42","  530","    8","  125","  981"," 2258","   22","   13","    8","   88","   73","  111","    2","   18","   19","   11","   15"," 1323","   53","    4","  810","   99","   14","  213","   16","   16","   31","  200","   47","  114","   18","   14","   45","   10","  723","   19","  253"
