name,tumor_Epithelial,tumor_Lymphocyte,tumor_Macrophage,tumor_Neutrophil,normal_Epithelial,normal_Lymphocyte,normal_Macrophage,normal_Neutrophil
TCGA-05-4249,345,0,15,0,506,56,12,0
TCGA-05-4382,30037,2477,4321,3,484,101,238,4
TCGA-05-4398,276977,5103,130817,14,2994,288,2177,1
TCGA-05-4405,21571,1023,15484,3,508,267,386,2
TCGA-05-4417,58953,3891,13782,1,616,183,71,0
TCGA-05-4420,81288,1448,50241,7,7456,81,5978,3
TCGA-05-4427,275480,6974,49054,4,8844,5005,3288,0
TCGA-05-4430,65955,2025,16314,3,274,31,120,0
TCGA-05-5428,353,78,84,5,524,319,247,16
TCGA-38-4626,501895,36228,11045,4039,105582,32449,2317,2962
TCGA-38-6178,372252,83631,10654,7838,139192,151473,14957,21434
TCGA-44-2655,4651,959,46,48,16098,8564,885,892
TCGA-44-2656,94660,24705,1674,2520,50836,81853,22283,13789
TCGA-44-2657,41422,9557,659,477,45619,40833,1442,1584
TCGA-44-2659,7919,3720,162,181,15822,25719,1746,2190
TCGA-44-2661,234874,125833,6222,5147,124112,175141,10044,9222
TCGA-44-2662,78986,10972,1677,5366,172079,46755,5835,16662
TCGA-44-2664,44880,16663,279,324,137970,138924,967,3002
TCGA-44-2665,23733,1105,77,57,136432,30821,2734,1585
TCGA-44-3396,197566,48207,1327,8841,134053,91717,2683,7513
TCGA-44-3398,13281,599,71,82,81846,13151,845,1142
TCGA-44-3917,132085,11956,1141,774,26691,12867,569,411
TCGA-44-3918,513131,115800,4380,1978,40384,53403,3823,2614
TCGA-44-3919,25528,14303,832,408,17986,47053,1017,736
TCGA-44-5643,268362,33548,727,685,101550,226323,1419,2207
TCGA-44-5645,186931,55273,1060,492,127354,86952,1402,1095
TCGA-44-6144,76128,11155,1455,1343,4879,4397,197,305
TCGA-44-6145,39838,5598,255,491,201371,76191,1444,2958
TCGA-44-6146,5386,423,146,13,75834,10010,3449,347
TCGA-44-6147,147630,18971,1828,282,48504,41245,1126,613
TCGA-44-6148,114152,29449,3728,531,119296,53912,5147,922
TCGA-44-6774,87832,16056,722,4866,74036,42351,3612,7738
TCGA-44-6775,104525,18837,2058,1038,188989,173578,3969,5982
TCGA-44-6776,66373,11214,4688,242,140218,22712,12985,790
TCGA-44-6778,148984,77157,833,3641,85219,121139,1402,4643
TCGA-44-7659,37581,12074,472,223,95045,89496,2710,2134
TCGA-44-7660,269274,31395,1580,423,67626,27154,905,380
TCGA-44-7661,0,0,0,0,0,0,0,0
TCGA-44-7667,83643,22219,1532,7596,47111,28665,1863,9134
TCGA-44-7670,17964,1426,765,457,126417,71838,12214,12421
TCGA-44-7671,4384,1035,133,45,31898,37994,1296,1028
TCGA-44-7672,42788,31964,467,822,61645,163629,2763,3711
TCGA-44-A479,292213,106605,401,379,320023,201912,642,678
TCGA-44-A47A,175685,43277,479,122,95109,115081,952,247
TCGA-44-A4SS,80974,11237,921,1523,67660,28675,2189,2844
